Date,EURGBP,EURAUD,EURUSD,EURCAD,EURCHF,EURJPY,GBPAUD,GBPUSD,GBPCAD,GBPCHF,GBPJPY,AUDUSD,AUDCAD,AUDCHF,AUDJPY,USDCAD,USDCHF,USDJPY,CADCHF,CADJPY,CHFJPY
2011-04-12,0.5664108063670268,-3.1377610847893496,1.0972389152106503,0.007238915210650232,1.0252389152106502,1.6722389152106503,-3.7041718911563764,0.5308281088436235,-0.5591718911563766,0.45882810884362357,1.1058281088436235,4.234999999999999,3.1449999999999996,4.163,4.81,-1.09,-0.07199999999999995,0.575,1.0180000000000002,1.665,0.647
2011-04-13,0.579397546617707,-3.133930143802414,1.1460698561975864,0.07606985619758633,1.0670698561975864,1.6970698561975863,-3.7133276904201207,0.5666723095798794,-0.5033276904201207,0.4876723095798794,1.1176723095798793,4.28,3.21,4.2010000000000005,4.831,-1.07,-0.07899999999999996,0.5509999999999999,0.9910000000000001,1.621,0.6299999999999999
2011-04-14,0.5647187513073024,-3.162547346887404,1.0924526531125964,0.042452653112596384,1.0434526531125965,1.6624526531125965,-3.7272660981947063,0.527733901805294,-0.522266098194706,0.47873390180529407,1.097733901805294,4.255000000000001,3.205,4.206,4.825,-1.05,-0.04899999999999993,0.5700000000000001,1.0010000000000001,1.62,0.619
2011-04-15,0.6207526987019614,-3.1319397843556294,1.1680602156443705,0.12806021564437042,1.0490602156443705,1.6730602156443704,-3.752692483057591,0.5473075169424091,-0.49269248305759095,0.4283075169424091,1.052307516942409,4.3,3.26,4.181,4.805,-1.04,-0.119,0.505,0.921,1.545,0.624
2011-04-18,0.6121957469114327,-3.1974938420025723,1.1175061579974277,0.1175061579974277,1.0155061579974276,1.6075061579974277,-3.809689588914005,0.505310411085995,-0.49468958891400505,0.40331041108599486,0.9953104110859949,4.3149999999999995,3.315,4.213,4.805,-1.0,-0.10200000000000009,0.48999999999999994,0.8979999999999999,1.49,0.5920000000000001
2011-04-19,0.6346725554891761,-3.0570120639824445,1.167987936017556,0.07798793601755594,1.077987936017556,1.6469879360175559,-3.69168461947162,0.5333153805283798,-0.5566846194716202,0.4433153805283798,1.0123153805283798,4.2250000000000005,3.1350000000000002,4.135,4.704000000000001,-1.0899999999999999,-0.08999999999999997,0.47900000000000004,1.0,1.569,0.569
2011-04-20,0.6395313697014402,-3.0900879722746204,1.16991202772538,0.05991202772537996,1.08191202772538,1.65891202772538,-3.7296193419760604,0.5303806580239399,-0.5796193419760602,0.4423806580239398,1.0193806580239397,4.26,3.1500000000000004,4.172000000000001,4.7490000000000006,-1.11,-0.08800000000000008,0.48899999999999993,1.022,1.599,0.577
2011-04-21,0.624538953616619,-3.1301068946119885,1.1448931053880114,0.024893105388011483,1.0698931053880116,1.6238931053880115,-3.7546458482286074,0.5203541517713924,-0.5996458482286076,0.4453541517713925,0.9993541517713924,4.275,3.1550000000000002,4.2,4.7540000000000004,-1.12,-0.07499999999999996,0.47900000000000004,1.045,1.599,0.554
2011-04-22,0.624538953616619,-3.1301068946119885,1.1448931053880114,0.024893105388011483,1.0698931053880116,1.6238931053880115,-3.7546458482286074,0.5203541517713924,-0.5996458482286076,0.4453541517713925,0.9993541517713924,4.275,3.1550000000000002,4.2,4.7540000000000004,-1.12,-0.07499999999999996,0.47900000000000004,1.045,1.599,0.554
2011-04-25,0.624538953616619,-3.1301068946119885,1.1548931053880116,0.0448931053880115,1.0698931053880116,1.6188931053880116,-3.7546458482286074,0.5303541517713924,-0.5796458482286075,0.4453541517713925,0.9943541517713925,4.285,3.175,4.2,4.749,-1.1099999999999999,-0.08499999999999996,0.4640000000000001,1.025,1.574,0.549
2011-04-26,0.6493803952535704,-3.1434697830206293,1.1615302169793709,0.07153021697937079,1.0595302169793708,1.6115302169793708,-3.7928501782741995,0.5121498217258004,-0.5778501782741996,0.4101498217258004,0.9621498217258004,4.305,3.215,4.203,4.755,-1.0899999999999999,-0.10199999999999998,0.45,0.988,1.54,0.552
2011-04-27,0.5955107643133284,-3.1191672747032158,1.200832725296784,0.07083272529678397,1.086832725296784,1.653832725296784,-3.714678039016544,0.6053219609834556,-0.5246780390165444,0.4913219609834556,1.0583219609834555,4.319999999999999,3.1899999999999995,4.2059999999999995,4.773,-1.13,-0.11399999999999999,0.453,1.016,1.583,0.567
2011-04-28,0.6646367141251028,-3.12634715430674,1.2236528456932598,0.11365284569325995,1.08765284569326,1.6546528456932599,-3.7909838684318427,0.5590161315681571,-0.5509838684318429,0.4230161315681571,0.990016131568157,4.35,3.2399999999999998,4.2139999999999995,4.781,-1.1099999999999999,-0.136,0.431,0.974,1.541,0.567
