gate 1: 128 shards total, 0 already checkpointed, 128 queued now, 8 workers
  floors: {'trend': 0.0789746052852731, 'chop': 0.0948921307658818}   PF >= 1.05
  shard   21:    83418 seen | eligible  67945/ 56279 | survivors  4832/ 1340  (trend/chop)
  shard   20:    83418 seen | eligible  67967/ 56337 | survivors  4985/ 1330  (trend/chop)
  shard   22:    83418 seen | eligible  67930/ 56381 | survivors  4871/ 1324  (trend/chop)
  shard   23:    83418 seen | eligible  67933/ 56342 | survivors  4879/ 1303  (trend/chop)
    shard   24:   5000 done, 6.91 ms/combo, 9 min left
    shard   25:   5000 done, 7.01 ms/combo, 9 min left
    shard   26:   5000 done, 6.98 ms/combo, 9 min left
    shard   27:   5000 done, 7.02 ms/combo, 9 min left
    shard   29:   5000 done, 7.01 ms/combo, 9 min left
    shard   28:   5000 done, 7.02 ms/combo, 9 min left
    shard   30:   5000 done, 6.99 ms/combo, 9 min left
    shard   31:   5000 done, 7.04 ms/combo, 9 min left
    shard   24:  10000 done, 7.18 ms/combo, 9 min left
    shard   25:  10000 done, 7.24 ms/combo, 9 min left
    shard   26:  10000 done, 7.26 ms/combo, 9 min left
    shard   27:  10000 done, 7.26 ms/combo, 9 min left
    shard   29:  10000 done, 7.26 ms/combo, 9 min left
    shard   28:  10000 done, 7.26 ms/combo, 9 min left
    shard   30:  10000 done, 7.24 ms/combo, 9 min left
    shard   31:  10000 done, 7.28 ms/combo, 9 min left
    shard   24:  15000 done, 7.26 ms/combo, 8 min left
    shard   25:  15000 done, 7.31 ms/combo, 8 min left
    shard   27:  15000 done, 7.32 ms/combo, 8 min left
    shard   26:  15000 done, 7.32 ms/combo, 8 min left
    shard   29:  15000 done, 7.31 ms/combo, 8 min left
    shard   28:  15000 done, 7.32 ms/combo, 8 min left
    shard   30:  15000 done, 7.31 ms/combo, 8 min left
    shard   31:  15000 done, 7.33 ms/combo, 8 min left
    shard   24:  20000 done, 7.23 ms/combo, 8 min left
    shard   25:  20000 done, 7.27 ms/combo, 8 min left
    shard   27:  20000 done, 7.28 ms/combo, 8 min left
    shard   29:  20000 done, 7.27 ms/combo, 8 min left
    shard   26:  20000 done, 7.29 ms/combo, 8 min left
    shard   30:  20000 done, 7.27 ms/combo, 8 min left
    shard   28:  20000 done, 7.29 ms/combo, 8 min left
    shard   31:  20000 done, 7.30 ms/combo, 8 min left
    shard   24:  25000 done, 7.22 ms/combo, 7 min left
    shard   25:  25000 done, 7.24 ms/combo, 7 min left
    shard   27:  25000 done, 7.25 ms/combo, 7 min left
    shard   26:  25000 done, 7.26 ms/combo, 7 min left
    shard   29:  25000 done, 7.25 ms/combo, 7 min left
    shard   28:  25000 done, 7.26 ms/combo, 7 min left
    shard   30:  25000 done, 7.25 ms/combo, 7 min left
    shard   31:  25000 done, 7.27 ms/combo, 7 min left
    shard   24:  30000 done, 7.27 ms/combo, 6 min left
    shard   25:  30000 done, 7.29 ms/combo, 6 min left
    shard   27:  30000 done, 7.30 ms/combo, 7 min left
    shard   29:  30000 done, 7.30 ms/combo, 6 min left
    shard   26:  30000 done, 7.31 ms/combo, 7 min left
    shard   28:  30000 done, 7.31 ms/combo, 7 min left
    shard   30:  30000 done, 7.30 ms/combo, 7 min left
