trades,hit_rate_pct,r_per_unit,worst_dip_R,member,period,dim,bucket,vs_all_r,dow_spread_real,dow_spread_null_mean,dow_spread_p
62,35.5,0.0984,5.0,g15,IS,entry_dow,Thu,-0.2287,0.4279377803693417,0.23313120415279603,0.019
42,38.1,0.2561,3.687,g15,IS,entry_dow,Fri,-0.071,0.4279377803693417,0.23313120415279603,0.019
68,17.6,-0.0485,16.264,g15,IS,holiday_window,any,-0.3756,0.4279377803693417,0.23313120415279603,0.019
196,33.2,0.1967,10.169,g15,OOS,all,all,,0.4279377803693417,0.23313120415279603,0.019
70,45.7,0.3698,4.034,g15,OOS,entry_dow,Mon,0.1731,0.4279377803693417,0.23313120415279603,0.019
22,36.4,0.4368,3.701,g15,OOS,entry_dow,Tue,0.2401,0.4279377803693417,0.23313120415279603,0.019
40,27.5,-0.0158,5.657,g15,OOS,entry_dow,Wed,-0.2125,0.4279377803693417,0.23313120415279603,0.019
34,23.5,0.0706,3.601,g15,OOS,entry_dow,Thu,-0.1261,0.4279377803693417,0.23313120415279603,0.019
30,20.0,0.043,4.572,g15,OOS,entry_dow,Fri,-0.1537,0.4279377803693417,0.23313120415279603,0.019
36,52.8,0.523,2.715,g15,OOS,holiday_window,any,0.3263,0.4279377803693417,0.23313120415279603,0.019
