family,fast,slow,state,lead,is_lift,is_surr,is_excess,is_z
mas,1,34,product M=5,1,0.8036886859628708,0.7368115744261894,0.06687711153668141,2.1634563298673544
mas,1,34,structural M=5,1,0.7061214339844848,0.6682691204791573,0.03785231350532747,1.1589636809587287
mas,1,34,nine-box,1,1.0970359264698826,1.0962745237877625,0.0007614026821201048,0.03388513979616595
mas,1,34,product M=5,3,0.7436945925741429,0.7249670202435646,0.018727572330578313,1.3780922275236904
mas,1,34,structural M=5,3,0.6667580893285295,0.6425678339714894,0.024190255357040114,1.7736857811225824
mas,1,34,nine-box,3,1.028945992701109,1.0582957013264591,-0.029349708625350024,-2.826127501116701
mas,1,44,product M=5,1,0.7923686086143962,0.7379075969889417,0.05446101162545447,1.6068728128027279
mas,1,44,structural M=5,1,0.7272964341468102,0.6694843266524446,0.057812107494365605,1.9365305148616168
mas,1,44,nine-box,1,1.0874452880522725,1.0883806058130454,-0.0009353177607729357,-0.04043998597231373
mas,1,44,product M=5,3,0.7257256025238512,0.7195404511554132,0.006185151368438002,0.3898453304868007
mas,1,44,structural M=5,3,0.6505190758731237,0.6394178714467808,0.011101204426342992,0.783647037971538
mas,1,44,nine-box,3,1.0248569672261008,1.052462827787834,-0.02760586056173331,-2.558532397690547
mas,1,56,product M=5,1,0.7678090053864525,0.739931597403298,0.027877407983154523,0.9454269333475512
mas,1,56,structural M=5,1,0.7168873136259261,0.6766879229411529,0.040199390684773184,1.3399140152573037
mas,1,56,nine-box,1,1.1121421505338933,1.07938092267521,0.032761227858683295,1.426270973496073
mas,1,56,product M=5,3,0.7082389599999168,0.7159737855238438,-0.007734825523927014,-0.5271265489553625
mas,1,56,structural M=5,3,0.6393897343313412,0.6380334629872078,0.0013562713441334084,0.09360833328520245
mas,1,56,nine-box,3,1.024959516103632,1.0466095132093414,-0.021649997105709362,-1.8432112258384392
mas,1,72,product M=5,1,0.7406080674859556,0.7110158227881939,0.029592244697761783,0.960785427192762
mas,1,72,structural M=5,1,0.6860437321491052,0.6453801263785763,0.040663605770528854,1.2966270807780627
mas,1,72,nine-box,1,1.1029059369225929,1.0759748643022367,0.02693107262035621,0.9358175246111295
mas,1,72,product M=5,3,0.6822506209358395,0.6864386568661074,-0.004188035930267842,-0.2863373498938889
mas,1,72,structural M=5,3,0.6007781261845964,0.6064556318054963,-0.00567750562089997,-0.3655440934444044
mas,1,72,nine-box,3,1.0197883692287,1.0442518453335794,-0.024463476104879422,-2.015165745857828
mas,1,92,product M=5,1,0.7116849272868183,0.7093631294558981,0.002321797830920236,0.06761013442034446
mas,1,92,structural M=5,1,0.6474619714825047,0.6459516194188296,0.0015103520636751133,0.04798463283619888
mas,1,92,nine-box,1,1.1073834289920892,1.0729757748495339,0.03440765414255531,1.3643834876202423
mas,1,92,product M=5,3,0.6653735962067725,0.6775225024869179,-0.012148906280145422,-0.7658760802540536
mas,1,92,structural M=5,3,0.5954350484951868,0.6014682056831869,-0.006033157188000127,-0.35719551154223106
mas,1,92,nine-box,3,1.0184878671500333,1.040429995803981,-0.021942128653947846,-1.9052143579866927
