si,ti,mi,ai,cti,so,to,mo,ao,cto,dec,held,signal,batch,H
-0.012937262372286817,-8.101111449279436,-0.8349126427897818,0.6785714285714286,28,-0.031795724747205684,-17.36029865443873,-0.9533329043532666,1.0,28,2.142952700148677,True,zs_taildep_D375,regime-v5,20
0.00018118428972691003,0.062484995582386085,-0.3799337879948198,0.5357142857142857,28,-0.020022023613350648,-5.824301727511151,-0.9811106840538752,0.8571428571428571,28,93.21120491769652,False,ps_taildep_D500,regime-v5,5
-0.011572575226682147,-5.262359274594125,-0.8526920729627824,0.6785714285714286,28,-0.025864075822453814,-9.920969708573175,-0.9660077457645349,0.8928571428571429,28,1.8852703114494893,True,ps_taildep_D500,regime-v5,10
-0.010957956427649573,-5.909180836778606,-0.9346332254116388,0.5714285714285714,28,-0.031162210945174462,-14.439506089880219,-0.9879246532490465,0.9285714285714286,28,2.443571535331778,True,ps_taildep_D500,regime-v5,15
-0.006207797177140345,-3.8180279753008217,-0.8381552612248202,0.6428571428571429,28,-0.02937810037655078,-15.731558597872993,-0.9851810977826846,0.8928571428571429,28,4.120336126304446,True,ps_taildep_D500,regime-v5,20
-0.01993609999829682,-6.88363380131316,-0.9760010037165014,0.7857142857142857,28,-0.024785712481882827,-7.235058980189395,-0.8365544284073713,0.9285714285714286,28,1.051052276896135,True,dts_5_500,trend-duration,5
-0.020778338783694006,-9.394902019132896,-0.9600136522730829,0.9642857142857143,28,-0.026921479769199508,-10.329689891656225,-0.9271812087739457,0.9285714285714286,28,1.0994994807417486,True,dts_5_500,trend-duration,10
-0.012767418505586658,-6.954987510745417,-0.7995422447973222,0.7857142857142857,28,-0.02483037405761465,-11.51798094437133,-0.9079385743040108,0.9642857142857143,28,1.6560750003614115,True,dts_5_500,trend-duration,15
-0.012280868179503107,-7.649401603126627,-0.8099372423084439,0.7142857142857143,28,-0.031572296008568534,-16.883576320321758,-0.980395770932238,0.9285714285714286,28,2.2071760898814285,True,dts_5_500,trend-duration,20
-0.01754773779526031,-6.055532639895827,-0.9821608253203838,0.75,28,-0.02072028522567404,-6.0467804151443145,-0.8929681983893002,0.7857142857142857,28,0.9985546730119411,True,ats_5_500,trend-duration,5
-0.020097815896783444,-9.088687854741341,-0.951572942197131,0.9285714285714286,28,-0.02164986627208937,-8.297150260924072,-0.9752661628662735,0.8214285714285714,28,0.9129095853584251,True,ats_5_500,trend-duration,10
-0.014083975661037418,-7.664177576447896,-0.8947969257898744,0.8214285714285714,28,-0.02268017040937298,-10.53747833225974,-0.9118545657949966,0.8928571428571429,28,1.3749000759900878,True,ats_5_500,trend-duration,15
-0.010904574082132967,-6.78875650918799,-0.8919856237669598,0.75,28,-0.029277956807243793,-15.64928829646808,-0.9826496421107511,0.9285714285714286,28,2.3051774320213334,True,ats_5_500,trend-duration,20
-0.012230314074716309,-4.3781990471248315,-0.8647206255908728,0.8571428571428571,28,-0.014227031093224485,-4.126131138425306,-0.984673647250185,0.7857142857142857,28,0.9424265763190783,True,dts_10_250,trend-duration,5
-0.019641917814248455,-9.237341394409441,-0.9028860584097422,0.8928571428571429,28,-0.020464199170351194,-7.824041259134375,-0.5632423206928249,0.8214285714285714,28,0.8470014179479808,True,dts_10_250,trend-duration,10
-0.014021506602002687,-7.891729953601929,-0.7598205408348192,0.6785714285714286,28,-0.02270218853972672,-10.45972652032424,-0.8648264742605887,0.8214285714285714,28,1.3254035023778572,True,dts_10_250,trend-duration,15
