block,pair_a,pair_b,observed,expected,kappa,shared_leg
oos,AUDNZD,GBPJPY,0.2796948783145659,0.29912697029387353,-0.027725552497654852,none
oos,AUDNZD,GBPNZD,0.24155466763530695,0.24656930741209043,-0.006655741299254786,NZD
oos,AUDNZD,GBPUSD,0.1863421721758082,0.26428798276925125,-0.10594608864326342,none
oos,AUDNZD,NZDCAD,0.2332001452960407,0.2785252003263224,-0.06282278334708596,NZD
oos,AUDNZD,NZDCHF,0.2586269524155467,0.27911366776316004,-0.02841878730596139,NZD
oos,AUDNZD,NZDJPY,0.20886305848165637,0.26477933988467356,-0.07605374064739447,NZD
oos,AUDNZD,NZDUSD,0.32764257173992006,0.2843458821595277,0.06049946266087675,NZD
oos,AUDNZD,USDCAD,0.20595713766799856,0.2981344922535387,-0.13133193406455,none
oos,AUDNZD,USDCHF,0.21285869960043588,0.2707674578562976,-0.07941055137998793,none
oos,AUDNZD,USDJPY,0.22048674173628768,0.2714716396299305,-0.06998340856318082,none
oos,AUDUSD,CADCHF,0.32473665092626225,0.29397088722285464,0.043575772084512715,none
oos,AUDUSD,CADJPY,0.15982564475118052,0.24378239951951503,-0.11102195282811471,none
oos,AUDUSD,CHFJPY,0.2793316382128587,0.2366341034823946,0.055933248950792484,none
oos,AUDUSD,EURAUD,0.35524881946966946,0.2628982232373652,0.12528879883848584,AUD
oos,AUDUSD,EURCAD,0.28151107882310206,0.291169597502787,-0.01362599381411677,none
oos,AUDUSD,EURCHF,0.3192880494006538,0.26461163985951197,0.07435038750232122,none
oos,AUDUSD,EURGBP,0.286233200145296,0.301569374043493,-0.02195804898617374,none
oos,AUDUSD,EURJPY,0.31166000726480203,0.25283015233258066,0.07873692322553111,none
oos,AUDUSD,EURNZD,0.24809298946603706,0.26789254373493954,-0.02704460130745346,none
oos,AUDUSD,EURUSD,0.37667998547039594,0.281038721553174,0.13302700268342132,USD
oos,AUDUSD,GBPAUD,0.3062114057391936,0.2793875822023697,0.03722364876642582,AUD
oos,AUDUSD,GBPCAD,0.24845622956774427,0.28610429147135197,-0.05273608099031865,none
oos,AUDUSD,GBPCHF,0.2996730839084635,0.27729918251845326,0.0309587326439983,none
oos,AUDUSD,GBPJPY,0.21721758082092263,0.2729114056996106,-0.07659840260907547,none
oos,AUDUSD,GBPNZD,0.219397021431166,0.24504562535814378,-0.033973713893830026,none
oos,AUDUSD,GBPUSD,0.3229204504177261,0.2517029601099563,0.09517275428249007,USD
oos,AUDUSD,NZDCAD,0.2891391209589539,0.27182089373426,0.023782922464646795,none
oos,AUDUSD,NZDCHF,0.2408281874318925,0.26074978931942155,-0.02694838851542371,none
oos,AUDUSD,NZDJPY,0.3076643661460225,0.2741934994403622,0.046115413240102376,none
oos,AUDUSD,NZDUSD,0.3901198692335634,0.3033974494554631,0.12449339973031831,USD
oos,AUDUSD,USDCAD,0.40501271340355977,0.2922167000989179,0.15936518044492703,USD
oos,AUDUSD,USDCHF,0.37522702506356703,0.28801060930261463,0.12249679124505625,USD
oos,AUDUSD,USDJPY,0.17617144932800582,0.23427508794355567,-0.07588056454831238,USD
oos,CADCHF,CADJPY,0.34289865601162367,0.2579785826880533,0.11444423481899293,CAD
oos,CADCHF,CHFJPY,0.23138394478750454,0.25208770698121613,-0.02768207233249957,CHF
oos,CADCHF,EURAUD,0.3468942971304032,0.2738369884506009,0.10060731201926883,none
oos,CADCHF,EURCAD,0.4852887758808572,0.2955613326227743,0.2693313868820949,CAD
oos,CADCHF,EURCHF,0.34507809662186706,0.28085637581377726,0.08930305247545313,CHF
oos,CADCHF,EURGBP,0.30802760624772973,0.30511482437875453,0.004191745587853558,none
oos,CADCHF,EURJPY,0.27134035597529965,0.26387671528032225,0.010139117794405354,none
oos,CADCHF,EURNZD,0.30039956411187796,0.277195079198349,0.03210338536128564,none
oos,CADCHF,EURUSD,0.32255721031601886,0.2917054195344009,0.043557852385849805,none
oos,CADCHF,GBPAUD,0.24518706865237921,0.2867707374407393,-0.05830336887629448,none
oos,CADCHF,GBPCAD,0.3345441336723574,0.2980595484185333,0.051976752688386293,CAD
oos,CADCHF,GBPCHF,0.3621503814021068,0.2934163292324894,0.09727659301120928,CHF
oos,CADCHF,GBPJPY,0.26443879404286236,0.29721194420009267,-0.046633049447501206,none
oos,CADCHF,GBPNZD,0.23247366509262624,0.2469523390195209,-0.019226769668261402,none
oos,CADCHF,GBPUSD,0.3192880494006538,0.26143127683315853,0.07833634264854393,none
oos,CADCHF,NZDCAD,0.3265528514347984,0.2785821998628053,0.06649496527930186,CAD
oos,CADCHF,NZDCHF,0.2524518706865238,0.2789215582142731,-0.03670847163617595,CHF
oos,CADCHF,NZDJPY,0.27642571739920085,0.27326804863274345,0.004345025370794053,none
oos,CADCHF,NZDUSD,0.38031238648746823,0.30605558061746596,0.10700684924604677,none
oos,CADCHF,USDCAD,0.37232110424990916,0.30842554745613837,0.09239143603228801,CAD
oos,CADCHF,USDCHF,0.39193606974209955,0.2908421140547531,0.1425549340857951,CHF
oos,CADCHF,USDJPY,0.2840537595350527,0.25473290769281315,0.03934274321903638,none
oos,CADJPY,CHFJPY,0.29240828187431894,0.26632294538771495,0.0355542487292163,JPY
oos,CADJPY,EURAUD,0.35415909916454774,0.25958512517929455,0.12773105619758743,none
oos,CADJPY,EURCAD,0.329095532146749,0.2518676254375737,0.1032275962584095,CAD
oos,CADJPY,EURCHF,0.2437341082455503,0.2677983361676969,-0.03286557394064872,none
oos,CADJPY,EURGBP,0.2840537595350527,0.2502502635898704,0.045086372563512354,none
oos,CADJPY,EURJPY,0.38031238648746823,0.26398820742922985,0.15804662402478206,JPY
oos,CADJPY,EURNZD,0.26225935343261897,0.2564880184203502,0.007762262283934052,none
oos,CADJPY,EURUSD,0.2549945513984744,0.25554303999375116,-0.0007367633385712212,none
oos,CADJPY,GBPAUD,0.2826007991282238,0.2576826337058051,0.033568075534613245,none
oos,CADJPY,GBPCAD,0.2920450417726117,0.2617515033957606,0.041034338053099875,CAD
oos,CADJPY,GBPCHF,0.22920450417726118,0.26453880711845046,-0.04804373539105289,none
oos,CADJPY,GBPJPY,0.39229930984380673,0.270492487870116,0.16697130591302786,JPY
oos,CADJPY,GBPNZD,0.29785688339992733,0.24960664382375058,0.06429992906925994,none
oos,CADJPY,GBPUSD,0.27569923719578643,0.2577417443362318,0.02419305238106922,none
oos,CADJPY,NZDCAD,0.2960406828913912,0.2590969347047879,0.04986313313723852,CAD
oos,CADJPY,NZDCHF,0.3174718488921177,0.2629512644727035,0.07397147812811768,none
oos,CADJPY,NZDJPY,0.3221939702143117,0.2498540376452911,0.09643447568783209,JPY
oos,CADJPY,NZDUSD,0.2371957864148202,0.2503708598314107,-0.017575455262621578,none
oos,CADJPY,USDCAD,0.30948056665455864,0.2626999123500183,0.06344859452498598,CAD
oos,CADJPY,USDCHF,0.24954594987286596,0.2477706518094912,0.0023600489234370426,none
