N,B,D,R,A_bars,A_t,A_ratio,A_share,B_bars,B_t,B_ratio,B_share,agree
5,1,0.5,0.5,-0.8022664455500266,-3.492418124839314,-0.1105796786950155,0.1518987341772152,-0.12025228393083864,-0.5832917584103405,-0.041997805766816776,0.15088826554464704,True
5,1,0.5,0.62,-0.8057975719882435,-3.5102002900871403,-0.11768239383191881,0.1520393811533052,-0.12868967452300772,-0.6253128045280336,-0.042119570323667976,0.1514726507713885,True
5,1,0.5,0.75,-0.8057975719882435,-3.5102002900871403,-0.11768239383191881,0.1520393811533052,-0.12868967452300772,-0.6253128045280336,-0.042119570323667976,0.1514726507713885,True
5,1,0.5,1.0,-0.8038730532928895,-3.504381334965485,-0.11815643754653915,0.1521800281293952,-0.12201013221244672,-0.5930118515258391,-0.03852430852479949,0.1515895278167368,True
5,1,1.0,0.5,-0.727580261388324,-3.01913491814366,-0.1277640463267068,0.13220815752461323,-0.17003228767355516,-0.7811169676815436,-0.06775685608086413,0.13055165965404394,True
5,1,1.0,0.62,-0.7315732617356439,-3.0381496899684555,-0.13571516317372356,0.13234880450070324,-0.17871304502236818,-0.8220801733099361,-0.06891361164631105,0.13101916783543713,True
5,1,1.0,0.75,-0.7315732617356439,-3.0381496899684555,-0.13571516317372356,0.13234880450070324,-0.17871304502236818,-0.8220801733099361,-0.06891361164631105,0.13101916783543713,True
5,1,1.0,1.0,-0.7315732617356439,-3.0381496899684555,-0.13571516317372356,0.13234880450070324,-0.17113018807934033,-0.7874361463403711,-0.06482011451295988,0.13113604488078542,True
5,2,0.25,0.5,-0.9116618176913729,-3.9546362809127293,-0.122385773232363,0.15119549929676512,-0.11515230530272014,-0.5572949737870724,-0.02453308985142899,0.14971949509116408,True
5,2,0.25,0.62,-0.9043510460341846,-3.925568291230953,-0.12784912634068535,0.15147679324894514,-0.12365865815543842,-0.5995197843695244,-0.02470823411736789,0.15030388031790556,True
5,2,0.25,0.75,-0.9043510460341846,-3.925568291230953,-0.12784912634068535,0.15147679324894514,-0.12365865815543842,-0.5995197843695244,-0.02470823411736789,0.15030388031790556,True
5,2,0.25,1.0,-0.9023445766056604,-3.91973425331981,-0.12831873022092233,0.15161744022503515,-0.1169394186315369,-0.567093471618539,-0.021143146472405894,0.15042075736325386,True
5,2,0.5,0.5,-0.8476192329523471,-3.581190021489096,-0.12298502084557361,0.14078762306610407,-0.1335641978964457,-0.6267766227950428,-0.02824001065954984,0.1388499298737728,True
5,2,0.5,0.62,-0.8513209337709657,-3.599550661977554,-0.1305256043883749,0.1409282700421941,-0.1425409369404278,-0.6701996589946845,-0.02840969011429273,0.13943431510051427,True
5,2,0.5,0.75,-0.8513209337709657,-3.599550661977554,-0.1305256043883749,0.1409282700421941,-0.1425409369404278,-0.6701996589946845,-0.02840969011429273,0.13943431510051427,True
5,2,0.5,1.0,-0.8492129636961074,-3.5935187741320735,-0.1310206843858578,0.1410689170182841,-0.13537396299618187,-0.6366850685464763,-0.024645020968342424,0.13955119214586256,True
5,2,1.0,0.5,-0.7598399848818449,-3.052211073784062,-0.12963763672103046,0.12320675105485232,-0.1878142620070804,-0.8370584244922555,-0.07660097386443998,0.12143525011687704,True
5,2,1.0,0.62,-0.764031735305208,-3.0717507311501646,-0.13804800759273284,0.12334739803094233,-0.1969750355376334,-0.8791513172128168,-0.07779648557301522,0.12190275829827021,True
5,2,1.0,0.75,-0.764031735305208,-3.0717507311501646,-0.13804800759273284,0.12334739803094233,-0.1969750355376334,-0.8791513172128168,-0.07779648557301522,0.12190275829827021,True
5,2,1.0,1.0,-0.764031735305208,-3.0717507311501646,-0.13804800759273284,0.12334739803094233,-0.18889164310283668,-0.8433474854347595,-0.07342819514247223,0.12201963534361851,True
5,3,0.25,0.5,-0.8667538215358643,-3.593210545971886,-0.11844308407273485,0.13530239099859354,-0.1670435191951416,-0.7697677493729507,-0.047616262210285254,0.13265544647031324,True
5,3,0.25,0.62,-0.8587452892479401,-3.5627643235722566,-0.12443892489455144,0.13558368495077355,-0.17623772213705813,-0.813802013669624,-0.047723150501877476,0.1332398316970547,True
5,3,0.25,0.75,-0.8587452892479401,-3.5627643235722566,-0.12443892489455144,0.13558368495077355,-0.17623772213705813,-0.813802013669624,-0.047723150501877476,0.1332398316970547,True
5,3,0.25,1.0,-0.8565504622739741,-3.556650696476198,-0.12495333281134513,0.13572433192686356,-0.16876466739908835,-0.7795274327087137,-0.04360158614910892,0.133356708742403,True
