Date,EURGBP,EURAUD,EURNZD,EURUSD,EURCAD,EURCHF,EURJPY,GBPAUD,GBPNZD,GBPUSD,GBPCAD,GBPCHF,GBPJPY,AUDNZD,AUDUSD,AUDCAD,AUDCHF,AUDJPY,NZDUSD,NZDCAD,NZDCHF,NZDJPY,USDCAD,USDCHF,USDJPY,CADCHF,CADJPY,CHFJPY
2024-07-03,range,broken,broken,broken,broken,broken,broken,broken,drifting,broken,broken,broken,trending,trending,drifting,range,broken,broken,drifting,broken,drifting,trending,range,drifting,broken,broken,trending,broken
2024-07-05,range,broken,broken,range,broken,broken,broken,broken,broken,broken,broken,broken,trending,trending,drifting,range,broken,broken,drifting,broken,drifting,trending,drifting,drifting,broken,broken,trending,broken
2024-07-08,range,broken,broken,range,broken,broken,broken,broken,broken,broken,broken,broken,trending,trending,drifting,drifting,broken,broken,range,broken,drifting,trending,drifting,range,broken,broken,trending,broken
2024-07-09,range,broken,broken,range,broken,range,broken,broken,broken,broken,broken,drifting,trending,trending,broken,drifting,broken,broken,range,broken,broken,trending,drifting,range,broken,broken,trending,broken
2024-07-10,range,range,broken,range,broken,range,broken,range,broken,broken,broken,drifting,trending,trending,broken,drifting,broken,broken,range,broken,broken,trending,range,range,broken,broken,broken,broken
2024-07-11,drifting,drifting,broken,range,broken,drifting,broken,range,broken,broken,broken,drifting,trending,trending,broken,drifting,broken,broken,range,broken,broken,trending,drifting,range,broken,broken,broken,broken
2024-07-12,drifting,drifting,broken,drifting,broken,range,broken,drifting,broken,broken,broken,drifting,trending,trending,broken,drifting,broken,broken,range,broken,broken,broken,drifting,range,broken,broken,broken,broken
2024-07-15,broken,range,trending,drifting,range,drifting,broken,drifting,broken,broken,broken,broken,trending,trending,broken,drifting,broken,broken,range,broken,broken,broken,range,range,broken,broken,broken,broken
2024-07-16,broken,range,trending,drifting,drifting,drifting,broken,drifting,broken,broken,drifting,broken,broken,trending,broken,trending,broken,broken,range,range,broken,broken,range,range,broken,broken,broken,broken
2024-07-17,broken,drifting,trending,broken,drifting,drifting,broken,broken,broken,broken,broken,broken,broken,trending,broken,broken,broken,broken,drifting,drifting,broken,broken,range,range,broken,broken,broken,broken
2024-07-18,broken,drifting,trending,broken,drifting,drifting,broken,broken,broken,broken,broken,broken,broken,trending,broken,broken,broken,broken,drifting,range,broken,broken,range,drifting,broken,broken,broken,broken
2024-07-19,broken,broken,trending,broken,drifting,drifting,broken,broken,broken,broken,broken,broken,broken,trending,broken,broken,broken,broken,drifting,range,broken,broken,range,drifting,broken,broken,broken,broken
2024-07-22,broken,broken,trending,broken,trending,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,drifting,drifting,broken,broken,range,broken,broken,broken,broken,broken
2024-07-23,broken,broken,trending,broken,trending,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,drifting,drifting,broken,broken,drifting,broken,broken,range,range,broken
2024-07-24,broken,broken,trending,broken,trending,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,drifting,broken,broken,drifting,broken,broken,range,drifting,broken
2024-07-25,broken,broken,trending,broken,trending,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,trending,broken,broken,drifting,broken,broken,drifting,drifting,broken
2024-07-26,broken,broken,trending,broken,trending,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,trending,broken,broken,drifting,broken,broken,drifting,drifting,trending
2024-07-29,broken,broken,trending,broken,trending,trending,trending,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,trending,broken,broken,broken,broken,broken,broken,broken,trending
2024-07-30,broken,broken,trending,broken,trending,trending,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,trending,broken,broken,broken,broken,broken,broken,broken,broken
2024-07-31,range,broken,trending,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,trending,broken,broken,broken,broken,broken,broken,broken,broken
2024-08-01,range,broken,trending,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,broken,trending,broken,broken,broken,broken,broken,broken,broken,broken
