si,ti,mi,ai,cti,so,to,mo,ao,cto,dec,held,signal,source,group,scorable,was_independent
0.01580410509044672,8.960403799208729,0.3379267781785287,0.75,28,0.023574799208225583,12.757769091384057,0.861491867096079,0.8214285714285714,28,1.423793991573311,True,ra_oc750_fl_8_pl,IEF,bonds,True,True
0.013083886321914123,7.484915101135055,0.2582524284119494,0.6428571428571429,28,0.027290289383126887,14.591515576857029,0.8338726859308647,0.8928571428571429,28,1.9494563905800733,True,ra_ep750_fl_8_pl,IEF,bonds,True,False
0.009270675371543358,5.6323749860015555,0.4062010379315084,0.6428571428571429,28,-0.0246618531175134,-13.31209907875097,-0.9265455559603084,0.8214285714285714,28,2.3634965910182197,False,ts_dd0.02_ol,CL=F,commodities,True,True
0.004697717251697792,2.7448822243404174,0.0011716700563123227,0.5714285714285714,28,0.016752108413937872,9.038747953937062,0.7149038097268675,0.7142857142857143,28,3.2929456403576776,True,ra_oc750_fl_8_pl,CL=F,commodities,True,True
0.0033929263397714515,1.9600540854289041,0.1840946535429654,0.6428571428571429,28,0.008088167930172113,4.292798642691481,0.6041961819489805,0.5714285714285714,28,2.1901429529951564,True,ra_ep750_fl_8_pl,CL=F,commodities,True,False
-0.007810953248116065,-4.61501175926878,-0.5798125838253464,0.6428571428571429,28,-0.019329842234775574,-10.256865071577936,-0.9483116300485365,0.7857142857142857,28,2.2225003112891466,True,ts_dd0.02_ol,GC=F,commodities,True,True
0.0056854809147987295,3.2355624214762533,0.33107099582212396,0.6785714285714286,28,0.007947215078010439,4.258319736074895,0.6223216076851537,0.5,28,1.3160987739905816,True,ra_oc750_fl_8_pl,GC=F,commodities,True,True
0.007925803228020667,4.4746580553273345,0.3511379220492101,0.6428571428571429,28,0.013122315219392972,6.959549472668775,0.7358236812541858,0.6785714285714286,28,1.5553254319361982,True,ra_ep750_fl_8_pl,GC=F,commodities,True,False
-0.00869203241649355,-5.228907333827134,-0.6317861098065648,0.6428571428571429,28,-0.012240805546294503,-6.764564224571517,-0.19555747729346237,0.75,28,1.2936860021996999,True,ts_dd0.02_ol,SI=F,commodities,True,True
0.020262554610878863,11.235944917391079,0.2347066363801412,0.7142857142857143,28,0.016173001291054118,9.074248953864474,0.6014537777608518,0.6785714285714286,28,0.8076088856415881,True,ra_oc750_fl_8_pl,SI=F,commodities,True,True
0.012811321069426423,7.078296933067781,0.24607655690221303,0.6785714285714286,28,0.01391661439011005,7.751800935611143,0.5751873510344916,0.6071428571428571,28,1.0951505720813919,True,ra_ep750_fl_8_pl,SI=F,commodities,True,False
-0.01924605426621942,-12.273907820999828,-0.8904508550976212,0.9642857142857143,28,-0.008333303712962148,-4.349182243465127,-0.31441245361483317,0.6071428571428571,28,0.3543437271073496,True,ts_dd0.02_ol,^TNX,us-yields,True,True
-0.00434972643990858,-2.4387871357962085,0.18235763536137561,0.5714285714285714,28,0.03369180535957603,18.443853356188953,0.7315440255503023,0.8571428571428571,28,7.5627155340752825,False,ra_oc750_fl_8_pl,^TNX,us-yields,True,True
