date,pair,state,age,chg60,typical,rel_age,oos
1999-04-07,CHFJPY,dead (choppy+small),2.0,2.0,3.0,0.6666666666666666,False
1999-04-07,EURAUD,dead (choppy+small),3.0,2.0,3.0,1.0,False
1999-04-07,EURCAD,dead (choppy+small),1.0,2.0,3.0,0.3333333333333333,False
1999-04-07,EURCHF,dead (choppy+small),5.0,1.0,3.0,1.6666666666666667,False
1999-04-07,EURGBP,volatile chop (choppy+large),1.0,3.0,3.0,0.3333333333333333,False
1999-04-07,EURJPY,dead (choppy+small),3.0,2.0,2.0,1.5,False
1999-04-07,EURNZD,dead (choppy+small),5.0,1.0,3.0,1.6666666666666667,False
1999-04-07,EURUSD,volatile chop (choppy+large),1.0,3.0,3.0,0.3333333333333333,False
1999-04-07,GBPAUD,dead (choppy+small),3.0,2.0,3.0,1.0,False
1999-04-07,GBPCAD,drifting (straight+small),4.0,2.0,2.0,2.0,False
1999-04-07,GBPCHF,dead (choppy+small),1.0,3.0,2.0,0.5,False
1999-04-07,GBPJPY,dead (choppy+small),3.0,2.0,3.0,1.0,False
1999-04-07,GBPNZD,dead (choppy+small),5.0,1.0,2.0,2.5,False
1999-04-07,GBPUSD,trending (straight+large),1.0,2.0,2.0,0.5,False
1999-04-07,NZDCAD,drifting (straight+small),1.0,2.0,2.0,0.5,False
1999-04-07,NZDCHF,dead (choppy+small),1.0,4.0,3.0,0.3333333333333333,False
1999-04-07,NZDJPY,dead (choppy+small),5.0,1.0,3.0,1.6666666666666667,False
1999-04-07,NZDUSD,dead (choppy+small),5.0,1.0,3.0,1.6666666666666667,False
1999-04-07,USDCAD,dead (choppy+small),1.0,2.0,2.5,0.4,False
1999-04-07,USDCHF,dead (choppy+small),1.0,3.0,2.0,0.5,False
1999-04-07,USDJPY,dead (choppy+small),5.0,1.0,3.0,1.6666666666666667,False
1999-04-08,AUDCAD,drifting (straight+small),2.0,2.0,2.0,1.0,False
1999-04-08,AUDCHF,dead (choppy+small),4.0,2.0,2.0,2.0,False
1999-04-08,AUDJPY,dead (choppy+small),6.0,1.0,3.0,2.0,False
1999-04-08,AUDNZD,dead (choppy+small),6.0,1.0,3.0,2.0,False
1999-04-08,AUDUSD,dead (choppy+small),6.0,1.0,2.0,3.0,False
1999-04-08,CADCHF,drifting (straight+small),1.0,3.0,2.0,0.5,False
1999-04-08,CADJPY,dead (choppy+small),6.0,1.0,2.0,3.0,False
1999-04-08,CHFJPY,dead (choppy+small),3.0,2.0,3.0,1.0,False
1999-04-08,EURAUD,dead (choppy+small),4.0,2.0,3.0,1.3333333333333333,False
1999-04-08,EURCAD,drifting (straight+small),1.0,3.0,2.0,0.5,False
1999-04-08,EURCHF,dead (choppy+small),6.0,1.0,3.0,2.0,False
1999-04-08,EURGBP,volatile chop (choppy+large),2.0,3.0,3.0,0.6666666666666666,False
1999-04-08,EURJPY,dead (choppy+small),4.0,2.0,2.0,2.0,False
1999-04-08,EURNZD,dead (choppy+small),6.0,1.0,3.0,2.0,False
1999-04-08,EURUSD,drifting (straight+small),1.0,4.0,2.0,0.5,False
1999-04-08,GBPAUD,dead (choppy+small),4.0,2.0,3.0,1.3333333333333333,False
1999-04-08,GBPCAD,drifting (straight+small),5.0,2.0,2.0,2.5,False
1999-04-08,GBPCHF,dead (choppy+small),2.0,3.0,2.0,1.0,False
1999-04-08,GBPJPY,dead (choppy+small),4.0,2.0,3.0,1.3333333333333333,False
1999-04-08,GBPNZD,dead (choppy+small),6.0,1.0,2.0,3.0,False
1999-04-08,GBPUSD,trending (straight+large),2.0,2.0,2.0,1.0,False
1999-04-08,NZDCAD,drifting (straight+small),2.0,2.0,2.0,1.0,False
1999-04-08,NZDCHF,dead (choppy+small),2.0,4.0,3.0,0.6666666666666666,False
1999-04-08,NZDJPY,dead (choppy+small),6.0,1.0,3.0,2.0,False
1999-04-08,NZDUSD,dead (choppy+small),6.0,1.0,3.0,2.0,False
1999-04-08,USDCAD,drifting (straight+small),1.0,3.0,2.5,0.4,False
1999-04-08,USDCHF,dead (choppy+small),2.0,3.0,2.0,1.0,False
1999-04-08,USDJPY,dead (choppy+small),6.0,1.0,3.0,2.0,False
