pair,day,level,size,dir,r,pnl,base_ccy,quote_ccy
EURNZD,2020-08-26,1,1.0,-1,0.16666666666666713,0.16666666666666713,EUR,NZD
GBPCHF,2020-08-26,1,1.0,1,0.09999999999999938,0.09999999999999938,GBP,CHF
NZDJPY,2020-08-26,1,1.0,1,0.44881889763779553,0.44881889763779553,NZD,JPY
USDJPY,2020-08-26,1,1.0,1,-0.12499999999999943,-0.12499999999999943,USD,JPY
EURCAD,2020-08-27,1,1.0,-1,0.03382759372026896,0.03382759372026896,EUR,CAD
EURGBP,2020-08-27,2,2.0,-1,0.2739583333333336,0.5479166666666672,EUR,GBP
EURNZD,2020-08-27,1,1.0,-1,0.16666666666666713,0.16666666666666713,EUR,NZD
GBPCHF,2020-08-27,1,1.0,1,0.09999999999999938,0.09999999999999938,GBP,CHF
NZDJPY,2020-08-27,1,1.0,1,0.44881889763779553,0.44881889763779553,NZD,JPY
USDJPY,2020-08-27,1,1.0,1,-0.12499999999999943,-0.12499999999999943,USD,JPY
AUDCAD,2020-08-28,2,2.0,1,-0.1249999999999992,-0.2499999999999984,AUD,CAD
EURCAD,2020-08-28,1,1.0,-1,0.03382759372026896,0.03382759372026896,EUR,CAD
EURGBP,2020-08-28,2,2.0,-1,0.2739583333333336,0.5479166666666672,EUR,GBP
EURNZD,2020-08-28,1,1.0,-1,0.16666666666666713,0.16666666666666713,EUR,NZD
GBPCHF,2020-08-28,1,1.0,1,0.09999999999999938,0.09999999999999938,GBP,CHF
NZDJPY,2020-08-28,1,1.0,1,0.44881889763779553,0.44881889763779553,NZD,JPY
USDJPY,2020-08-28,1,1.0,1,-0.12499999999999943,-0.12499999999999943,USD,JPY
AUDCAD,2020-08-31,2,2.0,1,-0.1249999999999992,-0.2499999999999984,AUD,CAD
EURCAD,2020-08-31,1,1.0,-1,0.03382759372026896,0.03382759372026896,EUR,CAD
EURGBP,2020-08-31,2,2.0,-1,0.2739583333333336,0.5479166666666672,EUR,GBP
EURNZD,2020-08-31,1,1.0,-1,0.16666666666666713,0.16666666666666713,EUR,NZD
GBPCHF,2020-08-31,1,1.0,1,0.09999999999999938,0.09999999999999938,GBP,CHF
NZDJPY,2020-08-31,1,1.0,1,0.44881889763779553,0.44881889763779553,NZD,JPY
AUDCAD,2020-09-01,2,2.0,1,-0.1249999999999992,-0.2499999999999984,AUD,CAD
EURCAD,2020-09-01,1,1.0,-1,0.03382759372026896,0.03382759372026896,EUR,CAD
EURGBP,2020-09-01,2,2.0,-1,0.2739583333333336,0.5479166666666672,EUR,GBP
EURNZD,2020-09-01,1,1.0,-1,0.16666666666666713,0.16666666666666713,EUR,NZD
GBPCHF,2020-09-01,1,1.0,1,0.09999999999999938,0.09999999999999938,GBP,CHF
NZDJPY,2020-09-01,1,1.0,1,0.44881889763779553,0.44881889763779553,NZD,JPY
AUDCAD,2020-09-02,2,2.0,1,-0.1249999999999992,-0.2499999999999984,AUD,CAD
EURCAD,2020-09-02,1,1.0,-1,0.03382759372026896,0.03382759372026896,EUR,CAD
EURNZD,2020-09-02,2,2.0,-1,-0.16666666666666566,-0.3333333333333313,EUR,NZD
EURCAD,2020-09-03,1,1.0,-1,0.03382759372026896,0.03382759372026896,EUR,CAD
EURNZD,2020-09-03,2,2.0,-1,-0.16666666666666566,-0.3333333333333313,EUR,NZD
EURCAD,2020-09-04,1,1.0,-1,0.03382759372026896,0.03382759372026896,EUR,CAD
EURNZD,2020-09-04,1,1.0,-1,0.16666666666666713,0.16666666666666713,EUR,NZD
EURCAD,2020-09-07,1,1.0,-1,0.03382759372026896,0.03382759372026896,EUR,CAD
EURNZD,2020-09-07,1,1.0,-1,0.16666666666666713,0.16666666666666713,EUR,NZD
EURCAD,2020-09-08,1,1.0,-1,0.03382759372026896,0.03382759372026896,EUR,CAD
EURGBP,2020-09-08,2,2.0,1,0.7416666666666651,1.4833333333333303,EUR,GBP
EURNZD,2020-09-08,1,1.0,-1,0.16666666666666713,0.16666666666666713,EUR,NZD
GBPCAD,2020-09-08,2,2.0,-1,0.4166666666666661,0.8333333333333321,GBP,CAD
GBPCHF,2020-09-08,1,1.0,-1,0.6749999999999997,0.6749999999999997,GBP,CHF
AUDCAD,2020-09-09,2,1.9467004780982455,1,0.05833333333333316,0.11355752788906398,AUD,CAD
EURGBP,2020-09-09,3,2.9200507171473684,1,0.9186868686868667,2.6826122497429554,EUR,GBP
EURNZD,2020-09-09,1,0.9733502390491228,-1,0.16666666666666713,0.16222503984152092,EUR,NZD
GBPCAD,2020-09-09,1,0.9733502390491228,-1,0.48333333333333117,0.47045261554040724,GBP,CAD
GBPCHF,2020-09-09,2,1.9467004780982455,-1,0.33756549665221236,0.6571389137223335,GBP,CHF
AUDCAD,2020-09-10,2,1.668600409798496,1,0.05833333333333316,0.09733502390491199,AUD,CAD
CADCHF,2020-09-10,1,0.834300204899248,-1,-0.013303032253700397,-0.011098722535043546,CAD,CHF
EURGBP,2020-09-10,3,2.502900614697744,1,0.9186868686868667,2.2993819283511043,EUR,GBP
EURJPY,2020-09-10,2,1.668600409798496,1,-0.06072391575614282,-0.10132395071526926,EUR,JPY
GBPCAD,2020-09-10,2,1.668600409798496,-1,0.14166666666666552,0.23638505805478505,GBP,CAD
GBPCHF,2020-09-10,2,1.668600409798496,-1,0.33756549665221236,0.5632619260477144,GBP,CHF
NZDCHF,2020-09-10,1,0.834300204899248,-1,-0.17306573248875382,-0.14438877607640577,NZD,CHF
AUDCAD,2020-09-11,2,2.0,1,0.05833333333333316,0.11666666666666632,AUD,CAD
CADCHF,2020-09-11,1,1.0,-1,-0.013303032253700397,-0.013303032253700397,CAD,CHF
EURJPY,2020-09-11,2,2.0,1,-0.06072391575614282,-0.12144783151228564,EUR,JPY
GBPCAD,2020-09-11,1,1.0,-1,-0.20000000000000012,-0.20000000000000012,GBP,CAD
GBPCHF,2020-09-11,2,2.0,-1,0.33756549665221236,0.6751309933044247,GBP,CHF
NZDCHF,2020-09-11,1,1.0,-1,-0.17306573248875382,-0.17306573248875382,NZD,CHF
AUDCAD,2020-09-14,2,2.0,1,0.05833333333333316,0.11666666666666632,AUD,CAD
CADCHF,2020-09-14,1,1.0,-1,-0.013303032253700397,-0.013303032253700397,CAD,CHF
CHFJPY,2020-09-14,2,2.0,-1,0.17810467159064142,0.35620934318128283,CHF,JPY
EURJPY,2020-09-14,2,2.0,1,-0.06072391575614282,-0.12144783151228564,EUR,JPY
GBPCAD,2020-09-14,1,1.0,-1,-0.20000000000000012,-0.20000000000000012,GBP,CAD
GBPCHF,2020-09-14,1,1.0,-1,0.00013099330442506427,0.00013099330442506427,GBP,CHF
NZDCHF,2020-09-14,1,1.0,-1,-0.17306573248875382,-0.17306573248875382,NZD,CHF
AUDCAD,2020-09-15,2,2.0,1,0.05833333333333316,0.11666666666666632,AUD,CAD
CADCHF,2020-09-15,1,1.0,-1,-0.013303032253700397,-0.013303032253700397,CAD,CHF
CHFJPY,2020-09-15,2,2.0,-1,0.17810467159064142,0.35620934318128283,CHF,JPY
EURJPY,2020-09-15,2,2.0,1,-0.06072391575614282,-0.12144783151228564,EUR,JPY
EURNZD,2020-09-15,1,1.0,-1,0.16666666666666713,0.16666666666666713,EUR,NZD
GBPCAD,2020-09-15,1,1.0,-1,-0.20000000000000012,-0.20000000000000012,GBP,CAD
GBPCHF,2020-09-15,1,1.0,-1,0.00013099330442506427,0.00013099330442506427,GBP,CHF
AUDCAD,2020-09-16,2,2.0,1,0.05833333333333316,0.11666666666666632,AUD,CAD
CADCHF,2020-09-16,1,1.0,-1,-0.013303032253700397,-0.013303032253700397,CAD,CHF
CHFJPY,2020-09-16,2,2.0,-1,0.17810467159064142,0.35620934318128283,CHF,JPY
EURNZD,2020-09-16,1,1.0,-1,0.16666666666666713,0.16666666666666713,EUR,NZD
GBPCAD,2020-09-16,1,1.0,-1,-0.20000000000000012,-0.20000000000000012,GBP,CAD
GBPCHF,2020-09-16,1,1.0,-1,0.00013099330442506427,0.00013099330442506427,GBP,CHF
AUDCAD,2020-09-17,1,1.0,1,0.0,0.0,AUD,CAD
CADCHF,2020-09-17,1,1.0,-1,-0.013303032253700397,-0.013303032253700397,CAD,CHF
CHFJPY,2020-09-17,2,2.0,-1,0.17810467159064142,0.35620934318128283,CHF,JPY
EURNZD,2020-09-17,1,1.0,-1,0.16666666666666713,0.16666666666666713,EUR,NZD
GBPCHF,2020-09-17,1,1.0,-1,0.00013099330442506427,0.00013099330442506427,GBP,CHF
AUDCAD,2020-09-18,1,1.0,1,0.0,0.0,AUD,CAD
CADCHF,2020-09-18,1,1.0,-1,-0.013303032253700397,-0.013303032253700397,CAD,CHF
CHFJPY,2020-09-18,1,1.0,-1,0.13745934318128275,0.13745934318128275,CHF,JPY
EURNZD,2020-09-18,1,1.0,-1,0.16666666666666713,0.16666666666666713,EUR,NZD
GBPCHF,2020-09-18,1,1.0,-1,0.00013099330442506427,0.00013099330442506427,GBP,CHF
AUDCAD,2020-09-21,1,1.0,1,0.0,0.0,AUD,CAD
CADCHF,2020-09-21,1,1.0,-1,-0.013303032253700397,-0.013303032253700397,CAD,CHF
