signal,shift,si,so,to,ao,mo
eff_trail_10,3153,0.0014706443699769312,-0.0017529902869657388,-0.9090257145094437,0.5357142857142857,-0.20587750860625093
eff_trail_15,3153,0.00010113446516304969,-0.0024549791794639397,-1.294997370500797,0.5357142857142857,-0.617535898682658
eff_trail_20,3153,-0.005251060810165742,-0.0021186268277393894,-1.1166459796765316,0.5,-0.5033465859430093
persist_ratio,3153,-0.0023851581157429136,-0.003360068529574961,-1.7630607054078844,0.6071428571428571,-0.9169833784600725
persist_log,3153,-0.0024623889593790027,-0.003326280720878816,-1.7463765797256536,0.6428571428571429,-0.9272614996575216
persist_diff,3153,-0.0030534107021080725,-0.004110899437037546,-2.1633361102356714,0.6785714285714286,-0.5880365397184393
ts_slope,3153,-0.0028980066336357357,-0.003647638079073229,-1.920522976201774,0.6428571428571429,-0.5751444720745129
ts_curve,3153,-0.003004200756436398,0.003005512022022566,1.5827985546559722,0.5714285714285714,0.831132515804609
ts_disp,3153,0.0013478071672261838,0.005924844330654294,3.1247485519699376,0.5714285714285714,0.8913676262211047
xh_agree,3153,-0.005460329035476629,-0.000143194096044272,-0.047722249115812125,0.4642857142857143,
xh_ends,3153,0.00027432046046802633,0.00026594379664601466,0.1449171236021049,0.4642857142857143,
mtf_agree,3153,0.0007150311350622252,-0.0027288364874715454,-1.190828950054354,0.6071428571428571,
conf_2of4,3153,-0.001806279862486496,-0.0004308624943235584,-0.16527444130172514,0.4642857142857143,
conf_3of4,3153,-0.0022513178153590646,-0.001203523313660766,-0.5311987011231872,0.6071428571428571,
conf_4of4,3153,-0.004552222756001265,-0.0020104858687704993,-0.7770103254412304,0.6428571428571429,
conf_3of4_and_persist,3153,-0.00209854080855166,-0.0049097856582409,-1.6579772713128385,0.6428571428571429,
conf_3of4_and_mtf,3153,-0.004674063263076003,-0.003981974067678343,-1.669774182764859,0.5714285714285714,
conf_all_three,3153,-0.0029943815826097018,-0.004847595683050691,-1.6486659887191621,0.6071428571428571,
eff_trail_5,1994,0.0011466148113182806,-0.007073523820826488,-3.73001686056856,0.75,-0.504931538192512
eff_trail_10,1994,0.005096656386816639,-0.00854818108291075,-4.536566735681093,0.7142857142857143,-0.736038874136404
eff_trail_15,1994,0.004751727133456174,-0.008078456693225183,-4.294107707202873,0.7142857142857143,-0.7737886070821767
eff_trail_20,1994,0.004938768044023961,-0.0068641386388870185,-3.631305522336242,0.7142857142857143,-0.7350661554731791
persist_ratio,1994,0.0020148534452206213,-0.003229741091945987,-1.6964662402305326,0.6428571428571429,-0.5746582110333435
persist_log,1994,0.0019451596242099078,-0.003407744464686363,-1.7917592513428986,0.6785714285714286,-0.6414101863087457
persist_diff,1994,0.0018297771443287203,0.00026137623628993967,0.1377292568625324,0.5,0.2705703219164994
ts_slope,1994,0.0021193719212147244,0.0010312157230078223,0.542749018048224,0.5714285714285714,0.3324864557312666
ts_curve,1994,-0.0017829964898405382,0.00495475431520731,2.625920657022005,0.6071428571428571,0.8809629326368698
ts_disp,1994,-0.0035967078245441875,0.004717386606639146,2.4826045719321472,0.6071428571428571,0.9592630175724021
xh_agree,1994,-0.0031632523767683557,-0.004494383923251207,-1.5754667573625787,0.5714285714285714,
