date,pair,trend_score,chop_score,shape2,activity,scale_28,combined2,settling,m_fail,m_retr,m_space,m_panel,sample
1999-04-13,CHFJPY,,,,weak,3.79791,,,,,,,is
1999-04-14,EURGBP,,,,strong,4.54853,,,,,,,is
1999-04-14,EURAUD,,,,medium,4.3192,,,,,,,is
1999-04-14,EURNZD,,,,weak,3.90971,,,,,,,is
1999-04-14,EURUSD,,,,medium,4.35736,,,,,,,is
1999-04-14,EURCAD,,,,medium,4.12272,,,,,,,is
1999-04-14,EURCHF,,,,weak,3.23471,,,,,,,is
1999-04-14,EURJPY,,,,weak,3.42354,,,,,,,is
1999-04-14,GBPAUD,,,,weak,3.6675,,,,,,,is
1999-04-14,GBPNZD,,,,weak,3.30817,,,,,,,is
1999-04-14,GBPUSD,,,,strong,4.46784,,,,,,,is
1999-04-14,GBPCAD,,,,weak,3.33945,,,,,,,is
1999-04-14,GBPCHF,,,,weak,4.02748,,,,,,,is
1999-04-14,GBPJPY,,,,weak,3.36245,,,,,,,is
1999-04-14,AUDNZD,,,,weak,2.96752,,,,,,,is
1999-04-14,AUDUSD,,,,medium,4.08806,,,,,,,is
1999-04-14,AUDCAD,,,,weak,3.5787,,,,,,,is
1999-04-14,AUDCHF,,,,medium,4.41728,,,,,,,is
1999-04-14,AUDJPY,,,,medium,3.69928,,,,,,,is
1999-04-14,NZDUSD,,,,weak,3.53965,,,,,,,is
1999-04-14,NZDCAD,,,,weak,3.47776,,,,,,,is
1999-04-14,NZDCHF,,,,weak,3.86015,,,,,,,is
1999-04-14,NZDJPY,,,,medium,3.54915,,,,,,,is
1999-04-14,USDCAD,,,,weak,3.35138,,,,,,,is
1999-04-14,USDCHF,,,,medium,4.39027,,,,,,,is
1999-04-14,USDJPY,,,,medium,3.59209,,,,,,,is
1999-04-14,CADCHF,,,,medium,4.25899,,,,,,,is
1999-04-14,CADJPY,,,,weak,3.44129,,,,,,,is
1999-04-14,CHFJPY,,,,weak,3.75865,,,,,,,is
1999-04-15,EURGBP,,,,strong,4.51856,,,,,,,is
1999-04-15,EURAUD,,,,medium,4.25406,,,,,,,is
1999-04-15,EURNZD,,,,weak,3.90072,,,,,,,is
1999-04-15,EURUSD,,,,medium,4.3061,,,,,,,is
1999-04-15,EURCAD,,,,medium,4.06066,,,,,,,is
1999-04-15,EURCHF,,,,weak,3.28201,,,,,,,is
1999-04-15,EURJPY,,,,weak,3.4776,,,,,,,is
1999-04-15,GBPAUD,,,,weak,3.56098,,,,,,,is
1999-04-15,GBPNZD,,,,weak,3.28235,,,,,,,is
1999-04-15,GBPUSD,,,,strong,4.51086,,,,,,,is
1999-04-15,GBPCAD,,,,weak,3.21852,,,,,,,is
1999-04-15,GBPCHF,,,,medium,4.0717,,,,,,,is
1999-04-15,GBPJPY,,,,weak,3.39012,,,,,,,is
1999-04-15,AUDNZD,,,,weak,3.24459,,,,,,,is
1999-04-15,AUDUSD,,,,medium,3.97765,,,,,,,is
1999-04-15,AUDCAD,,,,weak,3.73786,,,,,,,is
1999-04-15,AUDCHF,,,,medium,4.29967,,,,,,,is
1999-04-15,AUDJPY,,,,medium,3.8104,,,,,,,is
1999-04-15,NZDUSD,,,,weak,3.4418,,,,,,,is
1999-04-15,NZDCAD,,,,weak,3.59249,,,,,,,is
1999-04-15,NZDCHF,,,,weak,3.80416,,,,,,,is
1999-04-15,NZDJPY,,,,medium,3.70151,,,,,,,is
1999-04-15,USDCAD,,,,weak,3.16954,,,,,,,is
1999-04-15,USDCHF,,,,medium,4.41079,,,,,,,is
1999-04-15,USDJPY,,,,medium,3.6039,,,,,,,is
1999-04-15,CADCHF,,,,medium,4.22022,,,,,,,is
1999-04-15,CADJPY,,,,weak,3.58626,,,,,,,is
1999-04-15,CHFJPY,,,,weak,3.76812,,,,,,,is
1999-04-16,EURGBP,,,,strong,4.51502,,,,,,,is
1999-04-16,EURAUD,,,,medium,4.28237,,,,,,,is
1999-04-16,EURNZD,,,,weak,3.90256,,,,,,,is
1999-04-16,EURUSD,,,,medium,4.30273,,,,,,,is
1999-04-16,EURCAD,,,,medium,4.17785,,,,,,,is
1999-04-16,EURCHF,,,,weak,3.61116,,,,,,,is
1999-04-16,EURJPY,,,,weak,3.54992,,,,,,,is
