family,fast,slow,state,lead,lift,surr,surr_sd,excess,p
mas,2,16,product M=5,3,1.055226207742678,1.0684956094659661,0.02620265072415838,-0.013269401723288166,0.7142857142857143
mas,2,16,structural M=5,3,1.1016430192728321,1.0928181214978114,0.03326962700916353,0.008824897775020712,0.38095238095238093
mas,2,16,nine-box,3,0.9678019516543784,1.0081696901368253,0.010499187586562054,-0.0403677384824469,1.0
mas,2,21,product M=5,1,1.0561479659220496,1.0367571110217457,0.04768131839986711,0.0193908549003039,0.3333333333333333
mas,2,21,structural M=5,1,1.1546055484034499,1.0384242050215016,0.07681593230647686,0.1161813433819483,0.09523809523809523
mas,2,21,nine-box,1,1.0129459709571245,1.040109167386713,0.025430178421319047,-0.027163196429588643,0.8571428571428571
mas,2,21,product M=5,3,1.0359185426990956,1.0457626698971392,0.026611083811040596,-0.009844127198043617,0.6666666666666666
mas,2,21,structural M=5,3,1.075005414466172,1.0372485927205717,0.029136201870319966,0.037756821745600355,0.19047619047619047
mas,2,21,nine-box,3,0.9817249687640208,1.024928522212381,0.013902724225652599,-0.04320355344836013,1.0
mas,2,27,product M=5,1,1.0183702768834244,1.0129361035367621,0.04635449334794962,0.005434173346662297,0.47619047619047616
mas,2,27,structural M=5,1,1.1412626095406395,1.0042614189024843,0.07051629801622855,0.1370011906381552,0.09523809523809523
