N,B,D,R,A_real,A_surr,A_corr,A_z,B_real,B_surr,B_corr,B_z,agree
8,1,0.25,0.5,0.5320289116883535,0.37097921876564993,0.1610496929227036,4.995943709033857,0.3232666661508828,0.3403736408131556,-0.01710697466227279,-0.6922803173342028,False
8,1,0.25,0.62,0.5310039843160035,0.3704562213150332,0.1605477630009703,4.993828590548572,0.3229149826530784,0.3395578444105732,-0.016642861757494798,-0.6724513252252153,False
8,1,0.25,0.75,0.530883403064129,0.3704101074541052,0.16047329561002377,4.966860008894608,0.3230716960765199,0.3392422086539183,-0.016170512577398377,-0.6524577757334284,False
8,1,0.25,1.0,0.5308816218768617,0.3703837263174578,0.1604978955594039,4.975378680411706,0.3218670284953903,0.33908436101834083,-0.017217332522950546,-0.6943325716341683,False
8,1,0.5,0.5,0.5534325809619163,0.3869640825551234,0.1664684984067929,5.256931419412219,0.34704732589159626,0.35669557392143963,-0.009648248029843376,-0.39232853100849796,False
8,1,0.5,0.62,0.551902070122102,0.38660082944029,0.165301240681812,5.244618063043901,0.3468338054969383,0.3560169765029643,-0.009183171006026003,-0.3757660129393061,False
8,1,0.5,0.75,0.5516707418935243,0.38662346415456816,0.1650472777389561,5.211539312279984,0.3476759022271778,0.35576419892751376,-0.00808829670033595,-0.3312366588130035,False
8,1,0.5,1.0,0.5516537237531647,0.38662843096772603,0.16502529278543865,5.220566028697143,0.3471378344865565,0.35559407545138716,-0.008456240964830664,-0.34616748028835664,False
8,1,1.0,0.5,0.6533359333846793,0.4118902668586738,0.24144566652600552,6.952261175827462,0.36288524378228004,0.381329044723019,-0.01844380094073894,-0.7531023428644112,False
8,1,1.0,0.62,0.6524987535525297,0.4117012812704174,0.24079747228211235,6.949401457777312,0.3635286328840594,0.38078293629780824,-0.01725430341374884,-0.7103615997644795,False
8,1,1.0,0.75,0.651857559842892,0.4117389217120483,0.24011863813084366,6.900360984536134,0.3644858817230222,0.3805931883370233,-0.016107306614001116,-0.6645076421304379,False
8,1,1.0,1.0,0.6518587670124084,0.4117028539863899,0.24015591302601852,6.912567195077392,0.3638091136346957,0.38042595540497726,-0.016616841770281554,-0.6861065995797656,False
8,2,0.25,0.5,0.5602310322196493,0.4104742126713042,0.14975681954834513,5.136509440457663,0.35872286081421784,0.3832916473826203,-0.024568786568402445,-0.9981175257593549,False
8,2,0.25,0.62,0.5590397521984534,0.4100312085424612,0.14900854365599214,5.148145831337636,0.35977779099171786,0.38252982797313995,-0.022752036981422086,-0.9292733405397642,False
8,2,0.25,0.75,0.558190591122104,0.4100477153498948,0.1481428757722092,5.084886730752688,0.3607198606408293,0.3822939370326124,-0.021574076391783104,-0.8812340118867756,False
8,2,0.25,1.0,0.5581710386168489,0.4100014767034098,0.1481695619134391,5.101955704543042,0.36018830448368727,0.38213330218914365,-0.02194499770545638,-0.8973028874734289,False
8,2,0.5,0.5,0.5650519139593652,0.4201326100210293,0.14491930393833585,4.520162320463244,0.3653730534851633,0.3919170256703917,-0.026543972185228415,-1.143079497779862,False
8,2,0.5,0.62,0.5632890138303408,0.4197176785313598,0.14357133529898103,4.507908132267056,0.3667727805876453,0.39117888667088774,-0.02440610608324245,-1.0554129761916509,False
8,2,0.5,0.75,0.5625805740165916,0.41977575310198284,0.14280482091460872,4.463724977084514,0.36764579437069844,0.3909525929282836,-0.023306798557585162,-1.0094460171472228,False
8,2,0.5,1.0,0.5625581762937526,0.4197570015070646,0.14280117478668802,4.474340225597192,0.3668727881715531,0.39078223123975137,-0.023909443068198255,-1.0354130187519446,False
8,2,1.0,0.5,0.8226642406166911,0.5589074743063664,0.26375676631032463,5.290982535886925,0.48415099282329344,0.5258451828918272,-0.04169419006853381,-0.987722117946461,False
