s,ta,spa,aga,moa,cta,tb,spb,agb,mob,ctb,tsb,b
zb_egt_500,-0.169,-0.00048,0.5,-0.364,28.0,6.979,0.01488,0.643,0.368,28.0,1,trend-duration
zb_dts_5_60,-0.933,-0.00223,0.536,0.11,28.0,1.491,0.00327,0.536,0.726,28.0,3,trend-duration
zb_ats_5_60,-0.888,-0.00213,0.5,-0.018,28.0,1.658,0.00363,0.536,0.69,28.0,3,trend-duration
zb_dts_5_120,-3.17,-0.00774,0.607,-0.634,28.0,0.328,0.00074,0.5,-0.115,28.0,3,trend-duration
zb_ats_5_120,-4.178,-0.01025,0.643,-0.831,28.0,0.014,3e-05,0.5,0.001,28.0,0,trend-duration
zb_dts_5_250,-5.788,-0.01482,0.714,-0.9,28.0,-1.873,-0.00421,0.607,-0.307,28.0,3,trend-duration
zb_ats_5_250,-5.817,-0.01489,0.607,-0.973,28.0,-0.794,-0.00179,0.536,-0.247,28.0,3,trend-duration
zb_dts_5_500,-3.718,-0.01061,0.714,-0.907,28.0,-3.486,-0.00775,0.679,-0.717,28.0,3,trend-duration
zb_ats_5_500,-5.049,-0.01427,0.786,-0.966,28.0,-3.647,-0.0081,0.571,-0.679,28.0,3,trend-duration
zb_dts_5_750,-2.761,-0.00871,0.607,-0.813,28.0,-3.501,-0.00767,0.643,-0.768,28.0,2,trend-duration
