n,R,peg_n,peg_R,lv_n,lv_R,sup_n,sup_R,cap_n,cap_R,cln_n,cln_R,c1,c2,vol,base,slice,rank_before,sup_share,ex_sortino,ex_total_R,ex_calmar,rank,clean_R,clean_n,rk_R,rk_S,score,new_rank
158,39.93601563107952,14,-1.8132432618765661,6,-2.999999999999983,18,-3.813243261876548,0,0.0,134,42.0437986630331,aroon_signals,qqe_mod_signals,waddah_attar_explosion_volume_signals,mcginley_dynamic_index,trend,49,-0.09548381834338418,24.12509661868953,36.438668999986774,2.5854063906347906,49,42.0437986630331,134,33.0,43.0,38.0,51
186,45.33352765593938,16,3.315028863317324,2,2.277765197886806,16,3.315028863317324,0,0.0,166,40.436408354237685,kalman_filter_signals,lemantrend_signals,chaikin_volatility_volume_signals,alma_baseline,trend,29,0.07312532323707231,24.727813434421535,43.75143721755501,6.962760690983609,29,40.436408354237685,166,37.0,40.0,38.5,52
150,157.34047084926962,18,115.52170494717835,2,116.25795024411548,18,115.52170494717835,0,0.0,121,35.828872576922,schaff_trend_cycle_signals,coral_signals,variance_volume_signals,hma_baseline,trend,51,0.7342148165925271,26.3630495949096,34.57427651457862,4.7594684596647685,51,35.828872576922,121,47.0,36.0,41.5,53
106,49.674727320119075,10,16.931199976543187,4,16.651301495797654,12,17.174755293106852,2,16.40774617923399,91,28.99589833737603,schaff_trend_cycle_signals,lemantrend_signals,variance_volume_signals,tma_baseline,trend,59,0.3457443295546948,30.06824632405545,31.03790745124896,5.405637625862868,59,28.99589833737603,91,58.0,27.0,42.5,54
114,126.37089360609053,10,92.9008439540543,2,91.63920496454344,10,92.9008439540543,0,0.0,98,31.367795356919814,parabolic_sar_signals,relative_vigor_index_signals,variance_volume_signals,tma_baseline,trend,58,0.7351443145099108,29.19769247521152,31.807454701514622,7.169005945220203,58,31.367795356919814,98,56.0,31.0,43.5,55
236,205.041796362834,22,159.07709621250612,6,156.7444033923723,24,162.3281311392791,2,154.32910984680993,203,40.92262669191652,vortex_signals,rex_oscillator_signals,variance_volume_signals,frama_baseline,trend,46,0.7916831300679279,20.572106835064915,46.63920495584714,7.766888807038895,46,40.92262669191652,203,36.0,52.0,44.0,56
166,45.0126332944545,20,1.4707400630386624,8,2.4616135014171863,22,4.207463820911417,0,0.0,141,34.821795443713874,laguerre_filter_signals,waddah_attar_explosion_signals,volatility_ratio_volume_signals,kama_baseline,trend,40,0.09347295443454473,24.852448388126945,39.029259264625296,6.084148959247888,40,34.821795443713874,141,51.0,39.0,45.0,57
274,118.7459836641563,28,65.16490383483962,12,71.54940945346952,36,72.60312749358317,0,0.0,233,41.63826714398618,volatility_quality_signals,lemantrend_signals,variance_volume_signals,fantail_vma,trend,60,0.6114154369963636,18.596083256378744,49.13020884284342,7.512242426727312,60,41.63826714398618,233,34.0,57.0,45.5,58
168,40.99972868759959,18,3.957321135089511,4,0.15772405136742718,18,3.957321135089511,0,0.0,148,34.98667227664837,ssl_channel_signals,aroon_signals,waddah_attar_explosion_volume_signals,mcginley_dynamic_index,trend,50,0.09652066639861465,23.57952721860569,37.16639136519357,7.653734772622967,50,34.98667227664837,148,49.0,44.0,46.5,59
148,37.21617280179914,8,0.4607015782688726,2,3.640763177342352,10,4.101464755611224,0,0.0,132,31.17287305866296,ssl_channel_signals,lemantrend_signals,williams_vix_fix_volume_signals,mcginley_dynamic_index,trend,48,0.11020651632972178,25.189378348474296,35.27433781427419,6.148209278739411,48,31.17287305866296,132,57.0,38.0,47.5,60
