day,pair,dir,size,entry,stop
2016-02-29,AUDNZD,1,0.689545380940373,0.0,0.0
2016-02-29,CADCHF,1,0.689545380940373,0.0,0.0
2016-02-29,EURAUD,-1,0.689545380940373,0.0,0.0
2016-02-29,EURNZD,-1,4.137272285642238,0.0,0.0
2016-02-29,EURUSD,-1,2.068636142821119,0.0,0.0
2016-02-29,GBPCAD,-1,0.689545380940373,0.0,0.0
2016-03-01,AUDCHF,1,0.689545380940373,0.0,0.0
2016-03-01,AUDNZD,1,0.689545380940373,0.0,0.0
2016-03-01,CADCHF,1,0.689545380940373,0.0,0.0
2016-03-01,EURAUD,-1,0.689545380940373,0.0,0.0
2016-03-01,EURNZD,-1,4.137272285642238,0.0,0.0
2016-03-01,EURUSD,-1,2.068636142821119,0.0,0.0
2016-03-01,GBPCAD,-1,0.689545380940373,0.0,0.0
2016-03-02,AUDCHF,1,0.8619317261754662,0.0,0.0
2016-03-02,AUDNZD,1,0.8619317261754662,0.0,0.0
2016-03-02,EURAUD,-1,0.8619317261754662,0.0,0.0
2016-03-02,EURNZD,-1,5.171590357052797,0.0,0.0
2016-03-02,EURUSD,-1,0.8619317261754662,0.0,0.0
2016-03-03,EURNZD,-1,5.910388979488911,0.0,0.0
2016-03-03,EURUSD,-1,0.9850648299148184,0.0,0.0
2016-03-03,NZDUSD,1,0.9850648299148184,0.0,0.0
2016-03-04,AUDNZD,-1,0.8619317261754662,0.0,0.0
2016-03-04,EURNZD,-1,5.171590357052797,0.0,0.0
2016-03-04,EURUSD,-1,0.8619317261754662,0.0,0.0
2016-03-04,NZDUSD,1,0.8619317261754662,0.0,0.0
2016-03-07,AUDNZD,-1,0.8619317261754662,0.0,0.0
2016-03-07,EURCHF,1,0.8619317261754662,0.0,0.0
2016-03-07,EURNZD,-1,5.171590357052797,0.0,0.0
2016-03-07,NZDUSD,1,0.8619317261754662,0.0,0.0
2016-03-08,AUDJPY,-1,2.9551944897444553,0.0,0.0
2016-03-08,EURCHF,1,0.9850648299148184,0.0,0.0
2016-03-08,EURNZD,-1,5.910388979488911,0.0,0.0
2016-03-08,NZDUSD,1,0.9850648299148184,0.0,0.0
2016-03-09,AUDJPY,-1,2.9551944897444553,0.0,0.0
2016-03-09,EURCHF,1,0.9850648299148184,0.0,0.0
2016-03-09,EURNZD,-1,5.910388979488911,0.0,0.0
2016-03-09,NZDUSD,1,0.9850648299148184,0.0,0.0
2016-03-10,EURCHF,1,0.9850648299148184,0.0,0.0
2016-03-10,EURNZD,-1,5.910388979488911,0.0,0.0
2016-03-10,NZDUSD,1,0.9850648299148184,0.0,0.0
2016-03-10,USDCHF,-1,2.9551944897444553,0.0,0.0
2016-03-11,EURNZD,-1,1.0,0.0,0.0
2016-03-11,USDCHF,-1,3.0,0.0,0.0
2016-03-14,EURNZD,-1,1.0,0.0,0.0
2016-03-14,NZDJPY,-1,1.0,0.0,0.0
2016-03-14,USDCHF,-1,3.0,0.0,0.0
2016-03-15,EURNZD,-1,1.0,0.0,0.0
2016-03-15,NZDJPY,-1,1.0,0.0,0.0
2016-03-15,USDCHF,-1,3.0,0.0,0.0
2016-03-16,EURUSD,1,0.9850648299148184,0.0,0.0
2016-03-16,NZDJPY,-1,0.9850648299148184,0.0,0.0
2016-03-16,USDCHF,-1,5.910388979488911,0.0,0.0
2016-03-17,EURUSD,1,0.9850648299148184,0.0,0.0
2016-03-17,NZDJPY,1,0.9850648299148184,0.0,0.0
2016-03-17,USDCHF,-1,5.910388979488911,0.0,0.0
2016-03-18,EURUSD,1,1.0,0.0,0.0
2016-03-18,NZDJPY,1,1.0,0.0,0.0
2016-03-18,USDCHF,-1,3.0,0.0,0.0
2016-03-21,EURUSD,1,1.0,0.0,0.0
2016-03-21,NZDJPY,1,1.0,0.0,0.0
2016-03-21,USDCHF,-1,3.0,0.0,0.0
2016-03-22,EURUSD,1,1.0,0.0,0.0
2016-03-22,NZDJPY,1,1.0,0.0,0.0
2016-03-22,USDCHF,-1,3.0,0.0,0.0
2016-03-23,EURUSD,1,1.0,0.0,0.0
2016-03-23,NZDJPY,1,1.0,0.0,0.0
2016-03-23,USDCHF,-1,3.0,0.0,0.0
2016-03-24,EURUSD,1,1.0,0.0,0.0
2016-03-24,NZDCHF,-1,1.0,0.0,0.0
2016-03-24,NZDJPY,1,1.0,0.0,0.0
2016-03-24,USDCHF,-1,3.0,0.0,0.0
