n,R,peg_n,peg_R,lv_n,lv_R,sup_n,sup_R,cap_n,cap_R,cln_n,cln_R,c1,c2,vol,base,slice,rank_before,sup_share,ex_sortino,ex_total_R,ex_calmar,rank,clean_R,clean_n,rk_R,rk_S,score,new_rank
133,61.47944388198336,12,15.723039591780815,3,0.6499999999999875,15,16.3730395917808,0,0.0,105,31.27108293133392,dspo_signals,fx_sniper_ergodic_cci_signals,damiani_volatmeter_volume_signals,wma_baseline,chop,44,0.2663173014904083,26.67793004311392,47.64412252311472,7.238476340327189,44,31.27108293133392,105,58.0,9.0,33.5,40
133,70.53142260086189,13,15.905128921637935,12,10.593323873550965,24,27.130546803780426,0,0.0,105,36.99067663070266,polychromatic_momentum_signals,vortex_signals,efficiency_ratio_volume_signals,alma_baseline,chop,8,0.3846590045023265,22.84992563281174,64.12122343448308,14.145403017582026,8,36.99067663070266,105,49.0,19.0,34.0,41
343,101.79659977444989,32,13.853232777150508,28,15.725145914344948,58,30.89719285377636,0,0.0,278,68.34314791799524,polychromatic_momentum_signals,fx_sniper_ergodic_cci_signals,variance_volume_signals,super_smoother_2pole_baseline,chop,55,0.30351890851202384,13.544312687279763,99.2403407717716,9.923882891434124,55,68.34314791799524,278,8.0,60.0,34.0,42
322,96.73125461739413,24,7.845047580534288,9,1.9250330665880768,31,7.872520310577194,0,0.0,265,67.50645319428749,dspo_signals,center_of_gravity_signals,chaikin_volatility_volume_signals,sma_baseline,chop,57,0.08138548746954394,14.32587915552702,75.37897350486467,5.113183601528928,57,67.50645319428749,265,10.0,59.0,34.5,43
131,54.51343158550951,14,14.319152230831294,8,1.818181818181872,20,14.86460677628587,0,0.0,107,33.830642991041834,bears_bulls_impulse_signals,dpo_signals,variance_volume_signals,ema_baseline,chop,46,0.2726778766985035,24.050989097722724,48.695249767327695,4.00715814405986,46,33.830642991041834,107,54.0,16.0,35.0,44
121,71.03965259162574,9,8.643902275829733,10,8.605097380114323,18,17.955946315568564,0,0.0,94,36.92722669024915,polychromatic_momentum_signals,schaff_trend_cycle_signals,efficiency_ratio_volume_signals,alma_baseline,chop,31,0.2527594893909326,22.19001870541764,54.88317300581771,10.320281046672829,31,36.92722669024915,94,50.0,21.0,35.5,45
293,86.97708065116174,25,12.411266819946336,19,2.3080489704166998,42,13.919315790363072,0,0.0,237,60.84296829179409,aroon_signals,center_of_gravity_signals,variance_volume_signals,t3_baseline,chop,58,0.16003429508273745,14.351129958727268,74.7622840821572,7.434268099703705,58,60.84296829179409,237,15.0,58.0,36.5,46
153,73.03541080765136,14,14.905128921637942,12,10.593323873550949,25,26.130546803780412,0,0.0,125,40.45486400387097,polychromatic_momentum_signals,ehlers_reverse_ema_signals,efficiency_ratio_volume_signals,alma_baseline,chop,13,0.35777914459328153,20.8746340906354,66.58541080765141,14.46675015722019,13,40.45486400387097,125,42.0,32.0,37.0,47
160,60.494269236347,16,5.1647917337537,9,17.255673515025173,23,20.064791733753705,0,0.0,130,39.369135764926384,kuskus_starlight_signals,bears_bulls_impulse_signals,volatility_ratio_volume_signals,fantail_vma,chop,24,0.33168086807300584,20.918566826614832,59.433927498680106,8.542685471856688,24,39.369135764926384,130,46.0,30.0,38.0,48
126,58.90527714621849,11,15.834627526586194,1,-0.9999999999999966,12,14.834627526586198,0,0.0,109,36.84926821578746,kuskus_starlight_signals,dpo_signals,choppiness_index_volume_signals,rma_baseline,chop,40,0.25183868483909727,21.620881402483707,51.68389574237365,7.500633730475379,40,36.84926821578746,109,51.0,25.0,38.0,49
159,60.69233375921809,19,16.034022228874683,11,1.8511128711624254,28,14.981770970015749,0,0.0,126,39.91056278920233,dspo_signals,bears_bulls_impulse_signals,choppiness_index_volume_signals,rma_baseline,chop,36,0.2468478313826626,20.90504127395832,54.89233375921812,5.982661715909301,36,39.91056278920233,126,45.0,31.0,38.0,50
144,53.901969779038204,8,6.098736926386781,6,3.153874529522352,14,9.252611455909133,0,0.0,127,43.649358323129064,dspo_signals,fx_sniper_ergodic_cci_signals,waddah_attar_explosion_volume_signals,frama_baseline,chop,48,0.17165627701248418,18.493027561998737,52.90196977903821,6.875753310229571,48,43.649358323129064,127,37.0,40.0,38.5,51
215,66.52996854351031,14,12.229060954911231,8,6.231193745705534,19,15.17906095491124,1,-0.018806254294499402,184,48.065669857921904,aroon_signals,center_of_gravity_signals,variance_volume_signals,fantail_vma,chop,51,0.22815373713853782,15.822812215853189,63.244730812833126,9.832253306754744,51,48.065669857921904,184,30.0,52.0,41.0,52
163,61.51989582429066,13,8.498261397950508,3,5.299133816139161,16,13.797395214089669,0,0.0,140,42.46666910255903,coral_signals,hieken_ashi_smoothed_signals,variance_volume_signals,ema_baseline,chop,43,0.22427533449498907,17.842628821405537,56.26406431664869,7.704981486855907,43,42.46666910255903,140,39.0,43.0,41.0,53
136,55.96930732013018,12,5.834542139303009,14,10.25024773617928,24,14.367601090203507,0,0.0,107,38.86501743053348,volatility_quality_signals,waddah_attar_explosion_signals,variance_volume_signals,fantail_vma,chop,45,0.2567050009753469,18.99838428678319,53.23261852073697,6.169857984126241,45,38.86501743053348,107,47.0,38.0,42.5,54
150,53.89368574121211,14,16.819627666275505,6,-2.000000000000024,20,14.819627666275478,0,0.0,129,40.0740580749366,center_of_gravity_signals,relative_vigor_index_signals,variance_volume_signals,mcginley_dynamic_index,chop,52,0.27497892308640187,17.408917476792166,54.89368574121205,6.476003303488089,52,40.0740580749366,129,43.0,45.0,44.0,55
251,85.08510143972812,27,7.290201762985285,16,16.983560558901527,42,24.2871896126397,0,0.0,199,46.670523159055556,halftrend_signals,dpo_signals,ttm_squeeze_volume_signals,rma_baseline,chop,54,0.2854458559921217,14.785792700769452,71.95771277169524,4.866768416414387,54,46.670523159055556,199,32.0,56.0,44.0,56
201,66.29036894905467,24,7.864935617423555,8,14.082070884994163,31,18.947006502417707,0,0.0,160,33.34336244663692,price_momentum_oscillator_signals,schaff_trend_cycle_signals,efficiency_ratio_volume_signals,alma_baseline,chop,53,0.28581838965142614,18.788030100668323,52.290368949054645,6.070667476484056,53,33.34336244663692,160,56.0,39.0,47.5,57
146,56.62116078377182,16,17.208528058768536,13,18.186287254729706,28,32.744815313498236,0,0.0,113,17.789004985426782,ehlers_reverse_ema_signals,ichimoku_signals,volatility_ratio_volume_signals,mcginley_dynamic_index,chop,59,0.5783140942402442,19.04609111509956,50.53382029892503,9.122643310478969,59,17.789004985426782,113,60.0,37.0,48.5,58
209,72.81647662806549,16,8.669765919895875,9,13.00875086811079,25,21.67851678800666,0,0.0,176,40.00913038407271,center_of_gravity_signals,donchian_breakout_signals,variance_volume_signals,wma_baseline,chop,56,0.2977144431024442,15.581302188386047,61.68764717207938,5.904179011523171,56,40.00913038407271,176,44.0,54.0,49.0,59
169,67.18137102692071,17,10.882964273760221,16,20.232008942298815,32,30.181311446121992,0,0.0,129,29.41439354620867,polychromatic_momentum_signals,bears_bulls_impulse_signals,efficiency_ratio_volume_signals,alma_baseline,chop,47,0.4492511984315984,16.908421110338015,59.59570499233066,11.03239188706805,47,29.41439354620867,129,59.0,47.0,53.0,60
