N,lookback,state,sep,surr,corr,share,run,diag,sep_autocorr,sep_range_to_path,sep_dir_changes,sep_mean_crossings
9,52.0,drifting,0.06572569825527136,0.05386536846324577,0.011860329792025587,0.3859553434463951,13.0,0.9405632247377139,-0.02105450759957456,-0.07671840830948716,0.05975898160480564,0.10537089550721805
9,52.0,range,0.3405480503040779,0.36737207950205275,-0.02682402919797483,0.3290011931140276,15.0,0.9487784024665129,0.013149731929599413,-0.6221941880516958,0.10702378030514959,0.6198245009298669
10,57.0,trending,0.41180734560581905,0.4345893359767659,-0.02278199037094686,0.2842494967072713,19.0,0.9637700735404472,-0.0005790243786682394,0.7147076245950982,-0.1670651535222562,-0.7648775799272536
10,57.0,drifting,0.05819618602880536,0.052251938570503045,0.0059442474583023125,0.38836284846623675,13.0,0.9412940788750961,-0.013500633149781333,-0.06261455879638166,0.05266331677190878,0.10400623539714966
10,57.0,range,0.32498178941318434,0.34735504629888997,-0.022373256885705628,0.32738765482649196,15.0,0.9494657284336722,0.015098229861432303,-0.5927895597462335,0.09754638188355978,0.5944929861615119
11,63.0,trending,0.3882821674366723,0.41220388507592376,-0.02392171763925144,0.28356090595849825,20.0,0.9649567236647667,-0.009509221178675436,0.6548910437614113,-0.1621957063153326,-0.72653269849127
11,63.0,drifting,0.05424941515750672,0.052437903578216837,0.0018115115792898817,0.38794791337135237,13.0,0.9416705244362146,-0.01843598745735371,-0.034994628364402806,0.05102011707868371,0.11254692772958665
11,63.0,range,0.30912687100518454,0.3275148714947267,-0.018388000489542144,0.3284911806701494,15.0,0.9503241427790362,0.028602878723628256,-0.5654722317450808,0.09445934324032021,0.5479730303117091
12,68.0,trending,0.3682438635905153,0.39212936435631646,-0.02388550076580115,0.2841199143468951,21.0,0.9660495688355545,-0.007237364245416597,0.6164888320325478,-0.15622655063453106,-0.6930227074495657
12,68.0,drifting,0.041370510023715765,0.050689349837555804,-0.00931883981384004,0.38877087794432547,14.0,0.9428772919605077,-0.009905596697608,-0.0064201413532990696,0.04378347150621838,0.1053728305377376
12,68.0,range,0.3009665578606828,0.31057939043753097,-0.00961283257684814,0.32710920770877944,15.0,0.9510738606600314,0.01738184847455995,-0.5627473365527327,0.09709581181915386,0.5266412345962848
13,74.0,trending,0.3404472691649592,0.3714324975023267,-0.0309852283373675,0.28387689086806184,21.0,0.9669276580307749,-0.023550774927245614,0.5640533302748648,-0.1295478245036625,-0.6446371469540638
13,74.0,drifting,0.0382776347180611,0.050056270636163795,-0.011778635918102694,0.38824680171947795,14.0,0.9434325124895,-0.010159170928815917,0.006038150390289609,0.028590697557012035,0.10832251999612683
13,74.0,range,0.28153099946904714,0.2946469098993398,-0.013115910430292643,0.3278763074124602,15.0,0.9523323386210146,0.032674414873207165,-0.5268374678839214,0.08869158669980819,0.4779205284192519
14,79.0,trending,0.3290359360023273,0.35238004400697864,-0.023344108004651365,0.2824193118394235,23.0,0.9684463801662961,-0.0024606776350647804,0.5478361520019323,-0.1379998460166803,-0.627847068355632
14,79.0,drifting,0.04313038385011994,0.049351341202755715,-0.006220957352635774,0.3893843362200187,14.0,0.9442419422537389,-0.02420043041275827,0.01834101423920065,0.03731605375676803,0.09266403699175282
14,79.0,range,0.2788622752296905,0.2804519393563413,-0.0015896641266507916,0.3281963519405578,16.0,0.9524283804681152,0.028358914741592536,-0.5233251671194828,0.08660258199881264,0.4771624370588739
15,84.0,trending,0.31726195204946417,0.3346255554575985,-0.01736360340813431,0.283978471474704,23.0,0.9703072396954899,-0.019093583971401838,0.5090822560274544,-0.1320006725808004,-0.6088712956182
15,84.0,drifting,0.045069857054124196,0.048463204486702056,-0.0033933474325778604,0.38541227125941874,14.0,0.9458722567380324,-0.012253641160120458,0.0349486094987379,0.04173907751257879,0.09133810004505961
15,84.0,range,0.2685189923702021,0.2697831408427888,-0.0012641484725867125,0.3306092572658773,16.0,0.9544293903074518,0.03065836478398621,-0.5051465403368842,0.07660676531316477,0.46166429904677314
16,90.0,trending,0.3079147400558519,0.31903359384945673,-0.011118853793604833,0.2830676878493066,24.0,0.9713240895931738,-0.005099277037621965,0.48907342252035996,-0.14442953440354045,-0.5930567262618852
16,90.0,drifting,0.04973726993844049,0.05086791337184338,-0.0011306434334028906,0.38507382874491136,14.0,0.9469250588103506,-0.00818600347390953,0.048938663997127076,0.04734296704269156,0.09448144524003381
16,90.0,range,0.2592102275917825,0.25871192666416787,0.0004983009276146588,0.3318584834057821,16.0,0.9553631778713669,0.013409327367697036,-0.4998954125351427,0.08163206100023686,0.44190410946405345
17,95.0,trending,0.29214869258158427,0.30225607705918356,-0.01010738447759929,0.28314303974573785,26.0,0.9719027426095976,-0.0033216593178072625,0.4500725540626163,-0.14174448561077158,-0.573456071335142
17,95.0,drifting,0.05720345029076395,0.049991914616731505,0.007211535674032446,0.38403606653654154,14.0,0.9472701504960295,-0.015232714160070465,0.07164105023100939,0.0539850526768602,0.08795498409511573
17,95.0,range,0.25238239207920554,0.25059663798042703,0.0017857540987785137,0.3328208937177206,17.0,0.9561854332139335,0.01926376872237542,-0.48772305238921865,0.07205556072115936,0.43048718648406864
18,101.0,trending,0.2773628487063392,0.2902852065690308,-0.01292235786269158,0.28332149723728195,27.0,0.9732489528875845,0.00440397904519676,0.4183508971212936,-0.14046531634910414,-0.5462312023097625
18,101.0,drifting,0.0626040606536169,0.05330891554634893,0.00929514510726797,0.3856546515857482,15.0,0.9491879506705304,-0.028655943167692956,0.0927701399067645,0.05505719420186253,0.07393296533814758
18,101.0,range,0.2502787778853419,0.24205947368638475,0.008219304198957167,0.33102385117696986,17.0,0.9566628284308594,0.026620735135346126,-0.4828508719989382,0.06989078468797263,0.4217527197191109
19,106.0,trending,0.26070127060577775,0.27738226961018203,-0.016680999004404284,0.2835392053888421,27.0,0.9737261146496815,-0.00034369434026989816,0.3940163854810062,-0.11508535128840103,-0.5333596513134339
19,106.0,drifting,0.061725650307640406,0.0540484046492788,0.0076772456583616075,0.3847536045694048,15.0,0.9495870379564021,-0.028659724879040872,0.09492467436814182,0.04201380669220832,0.08130439529117062
19,106.0,range,0.2389770455219427,0.23329785511501963,0.005679190406923079,0.3317071900417531,17.0,0.957437897547313,0.030919237204184404,-0.46244089115188136,0.060599495113110434,0.4019485586185947
20,111.0,trending,0.24419403299709896,0.26204596994646556,-0.017851936949366598,0.28556244772790634,27.0,0.9742752517546537,0.004491686394908803,0.3760173935674289,-0.10617836916002946,-0.49008868286602875
