Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
104,Entry short,2017-11-02,1.3170135531,1.30531,127147,165966.2506,-1828.37,-1.10,0,179.28,0.11,-2241.6,-1.35,45489.9,4.55,6
105,Exit short,2017-11-15,BL Exit Short 1,1.31728,132914,174388.4846,-696.47,-0.40,0,600.77,0.34,-1242.75,-0.71,44793.42,4.48,2
105,Entry short,2017-11-13,1.3231237478,1.31204,132914,174388.4846,-696.47,-0.40,0,600.77,0.34,-1242.75,-0.71,44793.42,4.48,2
106,Exit short,2017-11-15,BL Exit Short 2,1.31728,132914,174388.4846,-696.47,-0.40,0,600.77,0.34,-1242.75,-0.71,44096.95,4.41,2
106,Entry short,2017-11-13,1.3231237478,1.31204,132914,174388.4846,-696.47,-0.40,0,600.77,0.34,-1242.75,-0.71,44096.95,4.41,2
107,Exit short,2018-08-08,SL/TP 1,1.28748,153504,199796.2013,2162.87,1.08,0,2162.87,1.08,-420.6,-0.21,46259.82,4.63,4
107,Entry short,2018-08-02,1.3109571576,1.30157,153504,199796.2013,2162.87,1.08,0,2162.87,1.08,-420.6,-0.21,46259.82,4.63,4
108,Exit short,2018-08-21,Exit Short 2,1.29051,153504,199796.2013,1697.75,0.85,0,5438.65,2.72,-420.6,-0.21,47957.58,4.80,13
108,Entry short,2018-08-02,1.3109571576,1.30157,153504,199796.2013,1697.75,0.85,0,5438.65,2.72,-420.6,-0.21,47957.58,4.80,13
109,Exit short,2019-01-03,SL/TP 1,1.26305,127459,159507.291,-1479.8,-0.93,0,12.75,0.01,-1479.8,-0.93,46477.78,4.65,1
109,Entry short,2019-01-02,1.2630482391,1.25144,127459,159507.291,-1479.8,-0.93,0,12.75,0.01,-1479.8,-0.93,46477.78,4.65,1
110,Exit short,2019-01-04,BL Exit Short 2,1.27263,127459,159507.291,-2700.86,-1.69,0,12.75,0.01,-2929.01,-1.84,43776.93,4.38,2
