Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
53,Entry long,2010-11-02,1.3866479469,1.403,55383,77702.349,1358.55,1.75,0,1358.55,1.75,-215.99,-0.28,-8077.74,-0.81,2
54,Exit long,2010-11-08,BL Exit Long 2,1.3912,55383,77702.349,-653.52,-0.84,0,1390.11,1.79,-797.52,-1.03,-8731.26,-0.87,4
54,Entry long,2010-11-02,1.3866479469,1.403,55383,77702.349,-653.52,-0.84,0,1390.11,1.79,-797.52,-1.03,-8731.26,-0.87,4
55,Exit short,2011-01-07,SL/TP 1,1.293,62524,82212.8076,1369.28,1.67,0,1369.28,1.67,-125.05,-0.15,-7361.98,-0.74,2
55,Entry short,2011-01-05,1.32949724,1.3149,62524,82212.8076,1369.28,1.67,0,1369.28,1.67,-125.05,-0.15,-7361.98,-0.74,2
56,Exit short,2011-01-13,Exit Short 2,1.3347,62524,82212.8076,-1237.98,-1.51,0,1725.66,2.10,-1456.81,-1.77,-8599.96,-0.86,6
56,Entry short,2011-01-05,1.32949724,1.3149,62524,82212.8076,-1237.98,-1.51,0,1725.66,2.10,-1456.81,-1.77,-8599.96,-0.86,6
57,Exit short,2012-05-09,SL/TP 1,1.29414,93764,122715.5103,1371.77,1.12,0,1371.77,1.12,0,0.00,-7228.19,-0.72,3
57,Entry short,2012-05-04,1.3185179076,1.30877,93764,122715.5103,1371.77,1.12,0,1371.77,1.12,0,0.00,-7228.19,-0.72,3
58,Exit short,2012-06-06,Exit Short 2,1.25771,93764,122715.5103,4787.59,3.90,0,7501.12,6.11,0,0.00,-2440.6,-0.24,23
58,Entry short,2012-05-04,1.3185179076,1.30877,93764,122715.5103,4787.59,3.90,0,7501.12,6.11,0,0.00,-2440.6,-0.24,23
59,Exit short,2012-06-29,SL/TP 1,1.262,81826,102288.2278,-976.18,-0.95,0,769.16,0.75,-976.18,-0.95,-3416.79,-0.34,4
59,Entry short,2012-06-25,1.2619927335,1.25007,81826,102288.2278,-976.18,-0.95,0,769.16,0.75,-976.18,-0.95,-3416.79,-0.34,4
60,Exit short,2012-06-29,Exit Short 2,1.26516,81826,102288.2278,-1234.75,-1.21,0,769.16,0.75,-1565.33,-1.53,-4651.54,-0.47,4
60,Entry short,2012-06-25,1.2619927335,1.25007,81826,102288.2278,-1234.75,-1.21,0,769.16,0.75,-1565.33,-1.53,-4651.54,-0.47,4
61,Exit short,2012-07-12,SL/TP 1,1.22079,78605,97390.80895,1430.61,1.47,0,1430.61,1.47,-84.89,-0.09,-3220.93,-0.32,5
61,Entry short,2012-07-05,1.2511200771,1.23899,78605,97390.80895,1430.61,1.47,0,1430.61,1.47,-84.89,-0.09,-3220.93,-0.32,5
62,Exit short,2012-07-26,Exit Short 2,1.22791,78605,97390.80895,870.94,0.89,0,2739.38,2.81,-84.89,-0.09,-2349.99,-0.23,15
62,Entry short,2012-07-05,1.2511200771,1.23899,78605,97390.80895,870.94,0.89,0,2739.38,2.81,-84.89,-0.09,-2349.99,-0.23,15
63,Exit long,2014-05-08,SL/TP 1,1.39576,158521,219790.9517,1466.32,0.67,0,1466.32,0.67,-849.67,-0.39,-883.67,-0.09,6
63,Entry long,2014-04-30,1.3803499337,1.38651,158521,219790.9517,1466.32,0.67,0,1466.32,0.67,-849.67,-0.39,-883.67,-0.09,6
64,Exit long,2014-05-09,Exit Long 2,1.37556,158521,219790.9517,-1735.8,-0.79,0,2022.73,0.92,-1913.35,-0.87,-2619.47,-0.26,7
64,Entry long,2014-04-30,1.3803499337,1.38651,158521,219790.9517,-1735.8,-0.79,0,2022.73,0.92,-1913.35,-0.87,-2619.47,-0.26,7
65,Exit short,2014-07-09,SL/TP 1,1.36434,185356,251913.6325,-974.97,-0.39,0,289.16,0.11,-974.97,-0.39,-3594.44,-0.36,3
65,Entry short,2014-07-04,1.3643336865,1.35908,185356,251913.6325,-974.97,-0.39,0,289.16,0.11,-974.97,-0.39,-3594.44,-0.36,3
66,Exit short,2014-07-09,BL Exit Short 2,1.36399,185356,251913.6325,-910.1,-0.36,0,289.16,0.11,-1056.53,-0.42,-4504.54,-0.45,3
66,Entry short,2014-07-04,1.3643336865,1.35908,185356,251913.6325,-910.1,-0.36,0,289.16,0.11,-1056.53,-0.42,-4504.54,-0.45,3
67,Exit short,2014-11-03,SL/TP 1,1.24835,92666,117112.2175,1432.62,1.22,0,1432.62,1.22,-12.05,-0.01,-3071.92,-0.31,3
67,Entry short,2014-10-29,1.2741152827,1.26381,92666,117112.2175,1432.62,1.22,0,1432.62,1.22,-12.05,-0.01,-3071.92,-0.31,3
68,Exit short,2014-11-14,Exit Short 2,1.25262,92666,117112.2175,1036.93,0.89,0,2596.5,2.22,-12.05,-0.01,-2034.99,-0.20,12
68,Entry short,2014-10-29,1.2741152827,1.26381,92666,117112.2175,1036.93,0.89,0,2596.5,2.22,-12.05,-0.01,-2034.99,-0.20,12
69,Exit short,2014-12-12,Exit Short 1,1.24541,91264,113225.769,-435.33,-0.38,0,202.61,0.18,-719.16,-0.64,-2470.32,-0.25,1
