Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
53,Exit long,2011-03-10,SL/TP 1,1.60781,80231.5,129997.4948,-1000.49,-0.77,0,84.24,0.06,-1000.49,-0.77,25827.82,2.58,1
53,Entry long,2011-03-09,1.6078160397,1.62028,80231.5,129997.4948,-1000.49,-0.77,0,84.24,0.06,-1000.49,-0.77,25827.82,2.58,1
54,Exit long,2011-03-10,Exit Long 2,1.60607,80231.5,129997.4948,-1140.09,-0.88,0,84.24,0.06,-1312.59,-1.01,24687.73,2.47,1
54,Entry long,2011-03-09,1.6078160397,1.62028,80231.5,129997.4948,-1140.09,-0.88,0,84.24,0.06,-1312.59,-1.01,24687.73,2.47,1
55,Exit long,2011-03-24,BL Exit Long 1,1.61218,69570.5,112936.5755,-776.41,-0.69,0,1165.31,1.03,-982.34,-0.87,23911.33,2.39,4
55,Entry long,2011-03-18,1.6089660977,1.62334,69570.5,112936.5755,-776.41,-0.69,0,1165.31,1.03,-982.34,-0.87,23911.33,2.39,4
56,Exit long,2011-03-24,BL Exit Long 2,1.61218,69570.5,112936.5755,-776.41,-0.69,0,1165.31,1.03,-982.34,-0.87,23134.92,2.31,4
56,Entry long,2011-03-18,1.6089660977,1.62334,69570.5,112936.5755,-776.41,-0.69,0,1165.31,1.03,-982.34,-0.87,23134.92,2.31,4
57,Exit short,2012-01-03,SL/TP 1,1.55929,74283.5,114829.6628,-999.86,-0.87,0,714.61,0.62,-999.86,-0.87,22135.06,2.21,4
57,Entry short,2011-12-28,1.5592869644,1.54583,74283.5,114829.6628,-999.86,-0.87,0,714.61,0.62,-999.86,-0.87,22135.06,2.21,4
58,Exit short,2012-01-03,BL Exit Short 2,1.56491,74283.5,114829.6628,-1417.33,-1.23,0,714.61,0.62,-1569.61,-1.37,20717.73,2.07,4
58,Entry short,2011-12-28,1.5592869644,1.54583,74283.5,114829.6628,-1417.33,-1.23,0,714.61,0.62,-1569.61,-1.37,20717.73,2.07,4
59,Exit short,2012-01-12,SL/TP 1,1.52954,75151.5,116447.2493,1500.02,1.29,0,1500.02,1.29,-229.21,-0.20,22217.76,2.22,5
59,Entry short,2012-01-05,1.5628114309,1.5495,75151.5,116447.2493,1500.02,1.29,0,1500.02,1.29,-229.21,-0.20,22217.76,2.22,5
60,Exit short,2012-01-19,Exit Short 2,1.54872,75151.5,116447.2493,58.62,0.05,0,1965.21,1.69,-229.21,-0.20,22276.38,2.23,10
60,Entry short,2012-01-05,1.5628114309,1.5495,75151.5,116447.2493,58.62,0.05,0,1965.21,1.69,-229.21,-0.20,22276.38,2.23,10
61,Exit short,2012-06-29,SL/TP 1,1.56328,87416,135655.6454,-1000.04,-0.74,0,91.79,0.07,-1000.04,-0.74,21276.34,2.13,1
61,Entry short,2012-06-28,1.5632745526,1.55184,87416,135655.6454,-1000.04,-0.74,0,91.79,0.07,-1000.04,-0.74,21276.34,2.13,1
62,Exit short,2012-06-29,Exit Short 2,1.5705,87416,135655.6454,-1631.18,-1.20,0,91.79,0.07,-1720.35,-1.27,19645.15,1.96,1
62,Entry short,2012-06-28,1.5632745526,1.55184,87416,135655.6454,-1631.18,-1.20,0,91.79,0.07,-1720.35,-1.27,19645.15,1.96,1
63,Exit short,2012-07-26,SL/TP 1,1.56209,88282.5,136904.9697,-1000.24,-0.73,0,430.82,0.31,-1000.24,-0.73,18644.91,1.86,3
63,Entry short,2012-07-23,1.5620822884,1.55076,88282.5,136904.9697,-1000.24,-0.73,0,430.82,0.31,-1000.24,-0.73,18644.91,1.86,3
64,Exit short,2012-07-26,Exit Short 2,1.56866,88282.5,136904.9697,-1580.26,-1.15,0,430.82,0.31,-1908.67,-1.39,17064.66,1.71,3
64,Entry short,2012-07-23,1.5620822884,1.55076,88282.5,136904.9697,-1580.26,-1.15,0,430.82,0.31,-1908.67,-1.39,17064.66,1.71,3
65,Exit long,2012-10-18,SL/TP 1,1.60683,123394,199273.9064,-1000.73,-0.50,0,265.3,0.13,-1000.73,-0.50,16063.93,1.61,1
65,Entry long,2012-10-17,1.6068308861,1.61494,123394,199273.9064,-1000.73,-0.50,0,265.3,0.13,-1000.73,-0.50,16063.93,1.61,1
66,Exit long,2012-10-18,BL Exit Long 2,1.60441,123394,199273.9064,-1299.34,-0.65,0,265.3,0.13,-1316.61,-0.66,14764.59,1.48,1
66,Entry long,2012-10-17,1.6068308861,1.61494,123394,199273.9064,-1299.34,-0.65,0,265.3,0.13,-1316.61,-0.66,14764.59,1.48,1
67,Exit long,2013-05-01,SL/TP 1,1.56038,88499.5,136592.7833,1500.07,1.10,0,1500.07,1.10,-136.29,-0.10,16264.66,1.63,4
67,Entry long,2013-04-25,1.5321254804,1.54343,88499.5,136592.7833,1500.07,1.10,0,1500.07,1.10,-136.29,-0.10,16264.66,1.63,4
68,Exit long,2013-05-09,Exit Long 2,1.54492,88499.5,136592.7833,131.86,0.10,0,1524.85,1.12,-136.29,-0.10,16396.52,1.64,10
68,Entry long,2013-04-25,1.5321254804,1.54343,88499.5,136592.7833,131.86,0.10,0,1524.85,1.12,-136.29,-0.10,16396.52,1.64,10
69,Exit short,2013-08-02,SL/TP 1,1.52441,80471,121670.5426,-1000.25,-0.82,0,139.21,0.11,-1000.25,-0.82,15396.27,1.54,1
69,Entry short,2013-08-01,1.5244068636,1.51198,80471,121670.5426,-1000.25,-0.82,0,139.21,0.11,-1000.25,-0.82,15396.27,1.54,1
70,Exit short,2013-08-02,BL Exit Short 2,1.52904,80471,121670.5426,-1372.84,-1.13,0,139.21,0.11,-1521.71,-1.25,14023.43,1.40,1
70,Entry short,2013-08-01,1.5244068636,1.51198,80471,121670.5426,-1372.84,-1.13,0,139.21,0.11,-1521.71,-1.25,14023.43,1.40,1
71,Exit long,2014-05-23,SL/TP 1,1.6828,141284.5,238753.8509,-1000.29,-0.42,0,274.09,0.11,-1000.29,-0.42,13023.14,1.30,2
71,Entry long,2014-05-21,1.6828020864,1.68988,141284.5,238753.8509,-1000.29,-0.42,0,274.09,0.11,-1000.29,-0.42,13023.14,1.30,2
72,Exit long,2014-05-23,BL Exit Long 2,1.68344,141284.5,238753.8509,-909.87,-0.38,0,274.09,0.11,-1210.81,-0.51,12113.27,1.21,2
72,Entry long,2014-05-21,1.6828020864,1.68988,141284.5,238753.8509,-909.87,-0.38,0,274.09,0.11,-1210.81,-0.51,12113.27,1.21,2
73,Exit short,2015-01-02,SL/TP 1,1.5397,83904.5,130688.8102,1501.05,1.15,0,1501.05,1.15,-894.42,-0.68,13614.32,1.36,10
73,Entry short,2014-12-17,1.5695032891,1.55759,83904.5,130688.8102,1501.05,1.15,0,1501.05,1.15,-894.42,-0.68,13614.32,1.36,10
74,Exit short,2015-01-27,Exit Short 2,1.51975,83904.5,130688.8102,3174.95,2.43,0,5240.68,4.01,-894.42,-0.68,16789.27,1.68,27
74,Entry short,2014-12-17,1.5695032891,1.55759,83904.5,130688.8102,3174.95,2.43,0,5240.68,4.01,-894.42,-0.68,16789.27,1.68,27
75,Exit short,2015-08-12,BL Exit Short 1,1.56126,89346,139132.2716,-360.06,-0.26,0,336.83,0.24,-783.56,-0.56,16429.2,1.64,1
75,Entry short,2015-08-11,1.5684274117,1.55723,89346,139132.2716,-360.06,-0.26,0,336.83,0.24,-783.56,-0.56,16429.2,1.64,1
76,Exit short,2015-08-12,BL Exit Short 2,1.56126,89346,139132.2716,-360.06,-0.26,0,336.83,0.24,-783.56,-0.56,16069.14,1.61,1
76,Entry short,2015-08-11,1.5684274117,1.55723,89346,139132.2716,-360.06,-0.26,0,336.83,0.24,-783.56,-0.56,16069.14,1.61,1
77,Exit long,2015-08-24,SL/TP 1,1.58029,93742.5,146639.5179,1500.82,1.02,0,1500.82,1.02,-753.69,-0.51,17569.95,1.76,6
77,Entry long,2015-08-14,1.5536124987,1.56428,93742.5,146639.5179,1500.82,1.02,0,1500.82,1.02,-753.69,-0.51,17569.95,1.76,6
78,Exit long,2015-08-26,Exit Long 2,1.54633,93742.5,146639.5179,-1682.68,-1.15,0,1646.12,1.12,-1777.36,-1.21,15887.28,1.59,8
78,Entry long,2015-08-14,1.5536124987,1.56428,93742.5,146639.5179,-1682.68,-1.15,0,1646.12,1.12,-1777.36,-1.21,15887.28,1.59,8
79,Exit short,2015-12-02,SL/TP 1,1.49756,101533.5,153553.1734,1500.67,0.98,0,1500.67,0.98,-327.95,-0.21,17387.94,1.74,7
79,Entry short,2015-11-23,1.5221839652,1.51234,101533.5,153553.1734,1500.67,0.98,0,1500.67,0.98,-327.95,-0.21,17387.94,1.74,7
80,Exit short,2015-12-09,Exit Short 2,1.5181,101533.5,153553.1734,-584.83,-0.38,0,2318.01,1.51,-695.5,-0.45,16803.11,1.68,12
80,Entry short,2015-11-23,1.5221839652,1.51234,101533.5,153553.1734,-584.83,-0.38,0,2318.01,1.51,-695.5,-0.45,16803.11,1.68,12
81,Exit short,2015-12-22,SL/TP 1,1.48294,86434.5,129677.6803,1500.5,1.16,0,1500.5,1.16,-64.83,-0.05,18303.61,1.83,4
81,Entry short,2015-12-16,1.5118694665,1.5003,86434.5,129677.6803,1500.5,1.16,0,1500.5,1.16,-64.83,-0.05,18303.61,1.83,4
82,Exit short,2016-01-28,Exit Short 2,1.43609,86434.5,129677.6803,5549.96,4.28,0,7983.95,6.16,-64.83,-0.05,23853.57,2.39,29
82,Entry short,2015-12-16,1.5118694665,1.5003,86434.5,129677.6803,5549.96,4.28,0,7983.95,6.16,-64.83,-0.05,23853.57,2.39,29
83,Exit short,2016-02-22,SL/TP 1,1.4072,64267.5,91937.22945,1500,1.63,0,1500,1.63,-667.1,-0.73,25353.57,2.54,4
83,Entry short,2016-02-16,1.4460999206,1.43054,64267.5,91937.22945,1500,1.63,0,1500,1.63,-667.1,-0.73,25353.57,2.54,4
84,Exit short,2016-03-03,Exit Short 2,1.41744,64267.5,91937.22945,841.9,0.92,0,3017.36,3.28,-667.1,-0.73,26195.48,2.62,12
84,Entry short,2016-02-16,1.4460999206,1.43054,64267.5,91937.22945,841.9,0.92,0,3017.36,3.28,-667.1,-0.73,26195.48,2.62,12
85,Exit short,2016-04-12,SL/TP 1,1.43097,67065,94967.39325,-1000.61,-1.05,0,1040.18,1.10,-1000.61,-1.05,25194.87,2.52,5
