Trade number,Type,Date and time,Signal,Price JPY,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
9,Entry long,2005-03-21,104.3197252936,105.203,1133,119194.999,14.16,1.26,0,14.16,1.26,-3.72,-0.33,-51.97,-0.01,3
10,Exit long,2005-04-13,Exit Long 2,107.349,1133,119194.999,22.54,2.04,0,38.94,3.51,-3.72,-0.33,-29.43,0.00,17
10,Entry long,2005-03-21,104.3197252936,105.203,1133,119194.999,22.54,2.04,0,38.94,3.51,-3.72,-0.33,-29.43,0.00,17
11,Exit long,2006-09-21,SL/TP 1,116.827,1177,138505.829,-8.49,-0.72,0,6.07,0.51,-8.49,-0.72,-37.92,0.00,8
11,Entry long,2006-09-11,116.8273034949,117.677,1177,138505.829,-8.49,-0.72,0,6.07,0.51,-8.49,-0.72,-37.92,0.00,8
12,Exit long,2006-09-21,Exit Long 2,116.38,1177,138505.829,-12.96,-1.10,0,6.07,0.51,-14.38,-1.22,-50.88,-0.01,8
12,Entry long,2006-09-11,116.8273034949,117.677,1177,138505.829,-12.96,-1.10,0,6.07,0.51,-14.38,-1.22,-50.88,-0.01,8
13,Exit long,2006-10-06,SL/TP 1,119.043,1224,144208.008,12.73,1.04,0,12.73,1.04,-4.44,-0.37,-38.16,0.00,6
13,Entry long,2006-09-28,116.999883814,117.817,1224,144208.008,12.73,1.04,0,12.73,1.04,-4.44,-0.37,-38.16,0.00,6
14,Exit long,2006-10-19,Exit Long 2,118.165,1224,144208.008,3.59,0.30,0,21.03,1.75,-4.44,-0.37,-34.57,0.00,15
14,Entry long,2006-09-28,116.999883814,117.817,1224,144208.008,3.59,0.30,0,21.03,1.75,-4.44,-0.37,-34.57,0.00,15
15,Exit long,2007-02-26,SL/TP 1,120.758,1218.5,148144.0115,-8.22,-0.68,0,0.54,0.04,-8.22,-0.68,-42.79,0.00,2
15,Entry long,2007-02-22,120.7581943208,121.579,1218.5,148144.0115,-8.22,-0.68,0,0.54,0.04,-8.22,-0.68,-42.79,0.00,2
16,Exit long,2007-02-26,BL Exit Long 2,120.647,1218.5,148144.0115,-9.33,-0.77,0,0.54,0.04,-12.21,-1.00,-52.13,-0.01,2
16,Entry long,2007-02-22,120.7581943208,121.579,1218.5,148144.0115,-9.33,-0.77,0,0.54,0.04,-12.21,-1.00,-52.13,-0.01,2
17,Exit short,2008-02-29,SL/TP 1,104.847,915,97435.605,14.17,1.54,0,14.17,1.54,-1.33,-0.15,-37.96,0.00,2
17,Entry short,2008-02-27,107.5797573565,106.487,915,97435.605,14.17,1.54,0,14.17,1.54,-1.33,-0.15,-37.96,0.00,2
18,Exit short,2008-04-01,Exit Short 2,101.841,915,97435.605,42.68,4.36,0,97.35,10.09,-1.33,-0.15,4.72,0.00,24
18,Entry short,2008-02-27,107.5797573565,106.487,915,97435.605,42.68,4.36,0,97.35,10.09,-1.33,-0.15,4.72,0.00,24
19,Exit long,2008-06-10,SL/TP 1,106.451,854,89409.53,14.22,1.68,0,14.22,1.68,-6.6,-0.78,18.94,0.00,9
19,Entry long,2008-05-28,103.5243376509,104.695,854,89409.53,14.22,1.68,0,14.22,1.68,-6.6,-0.78,18.94,0.00,9
20,Exit long,2008-06-26,Exit Long 2,106.814,854,89409.53,16.68,2.02,0,30.68,3.72,-6.6,-0.78,35.62,0.00,21
20,Entry long,2008-05-28,103.5243376509,104.695,854,89409.53,16.68,2.02,0,30.68,3.72,-6.6,-0.78,35.62,0.00,21
21,Exit short,2009-01-21,SL/TP 1,88.116,660.5,59701.274,16.64,2.51,0,16.64,2.51,-6.64,-1.01,52.26,0.01,8
21,Entry short,2009-01-09,91.9020575922,90.388,660.5,59701.274,16.64,2.51,0,16.64,2.51,-6.64,-1.01,52.26,0.01,8
22,Exit short,2009-01-28,BL Exit Short 2,90.294,660.5,59701.274,0.69,0.10,0,24.05,3.63,-6.64,-1.01,52.96,0.01,13
22,Entry short,2009-01-09,91.9020575922,90.388,660.5,59701.274,0.69,0.10,0,24.05,3.63,-6.64,-1.01,52.96,0.01,13
23,Exit short,2009-01-30,BL Exit Short 1,89.932,648,58343.328,0.75,0.12,0,6.13,0.95,-0.85,-0.13,53.7,0.01,1
23,Entry short,2009-01-29,91.5792282821,90.036,648,58343.328,0.75,0.12,0,6.13,0.95,-0.85,-0.13,53.7,0.01,1
24,Exit short,2009-01-30,BL Exit Short 2,89.932,648,58343.328,0.75,0.12,0,6.13,0.95,-0.85,-0.13,54.45,0.01,1
24,Entry short,2009-01-29,91.5792282821,90.036,648,58343.328,0.75,0.12,0,6.13,0.95,-0.85,-0.13,54.45,0.01,1
25,Exit long,2009-04-14,Exit Long 1,98.986,550.5,54475.278,0.16,0.03,0,13.72,2.52,-4.19,-0.75,54.61,0.01,10
25,Entry long,2009-03-31,97.1388374765,98.956,550.5,54475.278,0.16,0.03,0,13.72,2.52,-4.19,-0.75,54.61,0.01,10
26,Exit long,2009-04-14,Exit Long 2,98.986,550.5,54475.278,0.16,0.03,0,13.72,2.52,-4.19,-0.75,54.78,0.01,10
26,Entry long,2009-03-31,97.1388374765,98.956,550.5,54475.278,0.16,0.03,0,13.72,2.52,-4.19,-0.75,54.78,0.01,10
27,Exit long,2009-05-11,SL/TP 1,97.756,736.5,72997.461,-10.02,-1.37,0,4.84,0.66,-10.02,-1.37,44.75,0.00,6
27,Entry long,2009-05-01,97.7565381955,99.114,736.5,72997.461,-10.02,-1.37,0,4.84,0.66,-10.02,-1.37,44.75,0.00,6
28,Exit long,2009-05-11,Exit Long 2,97.486,736.5,72997.461,-12.01,-1.64,0,4.84,0.66,-13.69,-1.87,32.74,0.00,6
28,Entry long,2009-05-01,97.7565381955,99.114,736.5,72997.461,-12.01,-1.64,0,4.84,0.66,-13.69,-1.87,32.74,0.00,6
29,Exit short,2010-03-05,SL/TP 1,90.057,1022,91037.716,-11.19,-1.10,0,10.78,1.05,-11.19,-1.10,21.55,0.00,6
29,Entry short,2010-02-25,90.0565423056,89.078,1022,91037.716,-11.19,-1.10,0,10.78,1.05,-11.19,-1.10,21.55,0.00,6
30,Exit short,2010-03-05,Exit Short 2,90.282,1022,91037.716,-13.76,-1.35,0,10.78,1.05,-17.29,-1.70,7.8,0.00,6
30,Entry short,2010-02-25,90.0565423056,89.078,1022,91037.716,-13.76,-1.35,0,10.78,1.05,-17.29,-1.70,7.8,0.00,6
31,Exit short,2010-08-06,SL/TP 1,85.122,1116,96497.172,17.31,1.56,0,17.31,1.56,-5.31,-0.48,25.1,0.00,5
